fold,phase,phase_start,phase_end,phase_days,candidate_rows,UP45_plus,UP_excluded,UP_gt_DOWN,UP_gt_DOWN_excluded,FLAT_lt_50,FLAT_excluded,SCORE50_plus,SCORE_excluded,NIKKEI_uptrend_reference
3,DEV,2019-01-29,2022-06-03,786,173395,6448,166947,6448,0,6448,0,2446,4002,2144
3,VALIDATION,2022-06-27,2024-08-26,515,114611,4674,109937,4674,0,4673,1,625,4048,550
3,OOS,2024-09-18,2025-09-11,232,51968,2007,49961,2007,0,2007,0,98,1909,0
