fold,phase,phase_start,phase_end,phase_days,candidate_rows,UP45_plus,UP_excluded,UP_gt_DOWN,UP_gt_DOWN_excluded,FLAT_lt_50,FLAT_excluded,SCORE50_plus,SCORE_excluded,NIKKEI_uptrend_reference
3,DEV,2019-01-29,2022-06-02,785,173174,6435,166739,6435,0,6435,0,2394,4041,2084
3,VALIDATION,2022-06-24,2024-08-23,515,114608,4671,109937,4671,0,4670,1,613,4057,540
3,OOS,2024-09-17,2025-09-10,232,51968,2010,49958,2010,0,2010,0,98,1912,0
