strategy,up,score,nikkei,tp,sl,hold,dev_signals,dev_losses,dev_holds,dev_avg_return,dev_pf,dev_dd,dev_annual_signals,dev_positive_months,dev_months,dev_monthly_positive_ratio,dev_monthly_plus5_ratio,dev_avg_month_return,dev_avg_month_profit_jpy,dev_worst_month_return,dev_oos_cumulative_return,dev_compound_return,dev_compound_final_capital,dev_expected_value,dev_avg_win,dev_avg_loss,devh1_signals,devh1_losses,devh1_holds,devh1_avg_return,devh1_pf,devh1_dd,devh1_annual_signals,devh1_positive_months,devh1_months,devh1_monthly_positive_ratio,devh1_monthly_plus5_ratio,devh1_avg_month_return,devh1_avg_month_profit_jpy,devh1_worst_month_return,devh1_oos_cumulative_return,devh1_compound_return,devh1_compound_final_capital,devh1_expected_value,devh1_avg_win,devh1_avg_loss,devh2_signals,devh2_losses,devh2_holds,devh2_avg_return,devh2_pf,devh2_dd,devh2_annual_signals,devh2_positive_months,devh2_months,devh2_monthly_positive_ratio,devh2_monthly_plus5_ratio,devh2_avg_month_return,devh2_avg_month_profit_jpy,devh2_worst_month_return,devh2_oos_cumulative_return,devh2_compound_return,devh2_compound_final_capital,devh2_expected_value,devh2_avg_win,devh2_avg_loss,dev_objective,devh1_objective,devh2_objective,stability_objective,validation_signals,validation_losses,validation_holds,validation_avg_return,validation_pf,validation_dd,validation_annual_signals,validation_positive_months,validation_months,validation_monthly_positive_ratio,validation_monthly_plus5_ratio,validation_avg_month_return,validation_avg_month_profit_jpy,validation_worst_month_return,validation_oos_cumulative_return,validation_compound_return,validation_compound_final_capital,validation_expected_value,validation_avg_win,validation_avg_loss,validation_avg_lower,validation_pass,oos_signals,oos_losses,oos_holds,oos_avg_return,oos_pf,oos_dd,oos_annual_signals,oos_positive_months,oos_months,oos_monthly_positive_ratio,oos_monthly_plus5_ratio,oos_avg_month_return,oos_avg_month_profit_jpy,oos_worst_month_return,oos_oos_cumulative_return,oos_compound_return,oos_compound_final_capital,oos_expected_value,oos_avg_win,oos_avg_loss,oos_pf_ratio,oos_insufficient_data,oos_pass,profit_objective,sizing,prob_10y,prob_15y,prob_20y,bankruptcy_prob,p90_max_dd,final_status,up_threshold,score_threshold,nikkei_filter,tp_multiplier,sl_multiplier,hold_days,oos_validation_pf_ratio,fold,oos_end
UP30_SCORE70_NIKKEIOFF_TP2.5_SL1.75_H5,30,70,False,2.5,1.75,5,192,45,16,4.385309884220545,5.393636866550997,-36.87773219648485,73.58656873032528,28,33,84.84848484848484,81.81818181818183,32.45840230377045,324584.02303770446,-32.46178324187268,291906.1390245185,291906.1390245185,2920061390.245185,4.385309884220545,7.0313987231451405,-4.258580322933132,95,17,11,4.410203326481496,7.193386802577843,-14.281520621660404,71.10399590163935,16,18,88.88888888888889,83.33333333333334,27.3677911796156,273677.911796156,-6.634302963292027,5395.4492232200055,5395.4492232200055,54954492.23220006,4.410203326481496,6.238681645815077,-3.979285432813752,98,28,5,4.391458383239769,4.470997286444731,-36.87773219648485,76.64775160599572,13,16,81.25,81.25,36.15631757898001,361563.17578980007,-32.46178324187268,5604.294187833328,5604.294187833328,57042941.87833327,4.391458383239769,7.919302624737921,-4.428152220505612,156.33526922407265,157.35352603773907,155.86055370947642,155.86055370947642,133,39,7,3.174022589978744,3.629917125967856,-17.691731883636496,65.11829758713137,17,26,65.38461538461539,57.692307692307686,19.437199309343747,194371.9930934375,-13.877241443226351,5309.09016267068,5309.09016267068,54090901.6267068,3.174022589978744,6.198526287770605,-4.115806835468306,2.2613240906813736,True,81,28,18,2.193404458055139,2.547946424938607,-20.79140340265564,47.95016207455429,16,22,72.72727272727273,50.0,8.658037958112935,86580.37958112935,-15.989503028493846,419.9878491343866,419.9878491343866,5199878.491343866,2.193404458055139,5.517752771366949,-4.099111992142213,0.7019296409581913,False,True,121.15251950476208,0.01,0.0,0.0,26.96,0.0,0.0,PASS,30,70,False,2.5,1.75,5,0.7019296409581913,3,2025-09-10
UP25_SCORE70_NIKKEIOFF_TP2.5_SL1.75_H5,25,70,False,2.5,1.75,5,192,45,16,4.385309884220545,5.393636866550997,-36.87773219648485,73.58656873032528,28,33,84.84848484848484,81.81818181818183,32.45840230377045,324584.02303770446,-32.46178324187268,291906.1390245185,291906.1390245185,2920061390.245185,4.385309884220545,7.0313987231451405,-4.258580322933132,95,17,11,4.410203326481496,7.193386802577843,-14.281520621660404,71.10399590163935,16,18,88.88888888888889,83.33333333333334,27.3677911796156,273677.911796156,-6.634302963292027,5395.4492232200055,5395.4492232200055,54954492.23220006,4.410203326481496,6.238681645815077,-3.979285432813752,98,28,5,4.391458383239769,4.470997286444731,-36.87773219648485,76.64775160599572,13,16,81.25,81.25,36.15631757898001,361563.17578980007,-32.46178324187268,5604.294187833328,5604.294187833328,57042941.87833327,4.391458383239769,7.919302624737921,-4.428152220505612,156.33526922407265,157.35352603773907,155.86055370947642,155.86055370947642,133,39,7,3.174022589978744,3.629917125967856,-17.691731883636496,65.11829758713137,17,26,65.38461538461539,57.692307692307686,19.437199309343747,194371.9930934375,-13.877241443226351,5309.09016267068,5309.09016267068,54090901.6267068,3.174022589978744,6.198526287770605,-4.115806835468306,2.2613240906813736,True,80,28,18,2.094185512217721,2.405547365480752,-24.417090275931606,47.3581847649919,16,22,72.72727272727273,45.45454545454545,8.228802406465867,82288.02406465868,-20.83761193565425,369.3034172278586,369.3034172278586,4693034.172278585,2.094185512217721,5.514043923893965,-4.256980109466727,0.6627003543061203,False,True,107.1361112577804,0.01,0.0,0.0,9.9,0.0,0.0,PASS,25,70,False,2.5,1.75,5,0.6627003543061203,3,2025-09-10
UP20_SCORE70_NIKKEIOFF_TP2.5_SL1.75_H5,20,70,False,2.5,1.75,5,192,45,16,4.385309884220545,5.393636866550997,-36.87773219648485,73.58656873032528,28,33,84.84848484848484,81.81818181818183,32.45840230377045,324584.02303770446,-32.46178324187268,291906.1390245185,291906.1390245185,2920061390.245185,4.385309884220545,7.0313987231451405,-4.258580322933132,95,17,11,4.410203326481496,7.193386802577843,-14.281520621660404,71.10399590163935,16,18,88.88888888888889,83.33333333333334,27.3677911796156,273677.911796156,-6.634302963292027,5395.4492232200055,5395.4492232200055,54954492.23220006,4.410203326481496,6.238681645815077,-3.979285432813752,98,28,5,4.391458383239769,4.470997286444731,-36.87773219648485,76.64775160599572,13,16,81.25,81.25,36.15631757898001,361563.17578980007,-32.46178324187268,5604.294187833328,5604.294187833328,57042941.87833327,4.391458383239769,7.919302624737921,-4.428152220505612,156.33526922407265,157.35352603773907,155.86055370947642,155.86055370947642,133,39,7,3.174022589978744,3.629917125967856,-17.691731883636496,65.11829758713137,17,26,65.38461538461539,57.692307692307686,19.437199309343747,194371.9930934375,-13.877241443226351,5309.09016267068,5309.09016267068,54090901.6267068,3.174022589978744,6.198526287770605,-4.115806835468306,2.2613240906813736,True,80,28,18,2.094185512217721,2.405547365480752,-24.417090275931606,47.3581847649919,16,22,72.72727272727273,45.45454545454545,8.228802406465867,82288.02406465868,-20.83761193565425,369.3034172278586,369.3034172278586,4693034.172278585,2.094185512217721,5.514043923893965,-4.256980109466727,0.6627003543061203,False,True,107.1361112577804,0.01,0.0,0.0,9.9,0.0,0.0,PASS,20,70,False,2.5,1.75,5,0.6627003543061203,3,2025-09-10
