strategy,phase,signals,avg_return,avg_gc_gap,gc_approach_ratio,avg_gc_slope,avg_adx,avg_breakout20,avg_relative_strength,avg_volume_surge,avg_atr_ratio
UP20_SCORE70_NIKKEION_TP3.5_SL1.25_H1,VALIDATION,62,2.867464022331957,6.262053609283581,0.0,1.9665473950321883,28.936409564781663,1.30027849207,0.06375115649422401,1.4470356908864992,2.6691956477710908
UP20_SCORE80_NIKKEION_TP3.0_SL1.0_H1,VALIDATION,36,3.2908677124488555,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP20_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,36,3.714907165346645,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP20_SCORE80_NIKKEION_TP3.5_SL1.25_H1,VALIDATION,36,3.636405033302921,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP20_SCORE80_NIKKEION_TP3.5_SL1.5_H1,VALIDATION,36,3.509861770837171,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP20_SCORE80_NIKKEION_TP3.5_SL1.75_H1,VALIDATION,36,3.3848241807079806,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP20_SCORE80_NIKKEION_TP3.5_SL2.0_H1,VALIDATION,36,3.2612651249605005,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP20_SCORE80_NIKKEION_TP4.0_SL1.0_H1,VALIDATION,36,3.8390619875108225,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP20_SCORE80_NIKKEION_TP4.0_SL1.0_H3,VALIDATION,30,3.7639657898208516,6.5438147873303905,0.0,2.007056321584583,30.905885722455213,2.697085425928165,0.07830153359807437,1.6539403772156664,2.6576372667728747
UP20_SCORE80_NIKKEION_TP4.0_SL1.25_H1,VALIDATION,36,3.7605598554670987,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP20_SCORE80_NIKKEION_TP4.0_SL1.25_H3,VALIDATION,29,3.7811878050599326,6.4694790362208625,0.0,2.0256990149925977,31.126227574212088,2.8615552288947783,0.07444100129724868,1.6695833350413367,2.6073755746806095
UP20_SCORE80_NIKKEION_TP4.0_SL1.5_H1,VALIDATION,36,3.6340165930013484,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP20_SCORE80_NIKKEION_TP4.0_SL1.5_H3,VALIDATION,29,3.624099617171414,6.4694790362208625,0.0,2.0256990149925977,31.126227574212088,2.8615552288947783,0.07444100129724868,1.6695833350413367,2.6073755746806095
UP20_SCORE80_NIKKEION_TP4.0_SL1.75_H1,VALIDATION,36,3.508979002872158,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP20_SCORE80_NIKKEION_TP4.0_SL1.75_H3,VALIDATION,29,3.468880539769661,6.4694790362208625,0.0,2.0256990149925977,31.126227574212088,2.8615552288947783,0.07444100129724868,1.6695833350413367,2.6073755746806095
UP20_SCORE80_NIKKEION_TP4.0_SL2.0_H1,VALIDATION,36,3.385419947124679,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP20_SCORE80_NIKKEION_TP4.0_SL2.0_H3,VALIDATION,29,3.3154968843589963,6.4694790362208625,0.0,2.0256990149925977,31.126227574212088,2.8615552288947783,0.07444100129724868,1.6695833350413367,2.6073755746806095
UP25_SCORE70_NIKKEION_TP3.5_SL1.25_H1,VALIDATION,62,2.867464022331957,6.262053609283581,0.0,1.9665473950321883,28.936409564781663,1.30027849207,0.06375115649422401,1.4470356908864992,2.6691956477710908
UP25_SCORE80_NIKKEION_TP3.0_SL1.0_H1,VALIDATION,36,3.2908677124488555,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP25_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,36,3.714907165346645,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP25_SCORE80_NIKKEION_TP3.5_SL1.25_H1,VALIDATION,36,3.636405033302921,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP25_SCORE80_NIKKEION_TP3.5_SL1.5_H1,VALIDATION,36,3.509861770837171,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP25_SCORE80_NIKKEION_TP3.5_SL1.75_H1,VALIDATION,36,3.3848241807079806,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP25_SCORE80_NIKKEION_TP3.5_SL2.0_H1,VALIDATION,36,3.2612651249605005,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP25_SCORE80_NIKKEION_TP4.0_SL1.0_H1,VALIDATION,36,3.8390619875108225,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP25_SCORE80_NIKKEION_TP4.0_SL1.0_H3,VALIDATION,30,3.7639657898208516,6.5438147873303905,0.0,2.007056321584583,30.905885722455213,2.697085425928165,0.07830153359807437,1.6539403772156664,2.6576372667728747
UP25_SCORE80_NIKKEION_TP4.0_SL1.25_H1,VALIDATION,36,3.7605598554670987,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP25_SCORE80_NIKKEION_TP4.0_SL1.25_H3,VALIDATION,29,3.7811878050599326,6.4694790362208625,0.0,2.0256990149925977,31.126227574212088,2.8615552288947783,0.07444100129724868,1.6695833350413367,2.6073755746806095
UP25_SCORE80_NIKKEION_TP4.0_SL1.5_H1,VALIDATION,36,3.6340165930013484,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP25_SCORE80_NIKKEION_TP4.0_SL1.5_H3,VALIDATION,29,3.624099617171414,6.4694790362208625,0.0,2.0256990149925977,31.126227574212088,2.8615552288947783,0.07444100129724868,1.6695833350413367,2.6073755746806095
UP25_SCORE80_NIKKEION_TP4.0_SL1.75_H1,VALIDATION,36,3.508979002872158,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP25_SCORE80_NIKKEION_TP4.0_SL1.75_H3,VALIDATION,29,3.468880539769661,6.4694790362208625,0.0,2.0256990149925977,31.126227574212088,2.8615552288947783,0.07444100129724868,1.6695833350413367,2.6073755746806095
UP25_SCORE80_NIKKEION_TP4.0_SL2.0_H1,VALIDATION,36,3.385419947124679,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP25_SCORE80_NIKKEION_TP4.0_SL2.0_H3,VALIDATION,29,3.3154968843589963,6.4694790362208625,0.0,2.0256990149925977,31.126227574212088,2.8615552288947783,0.07444100129724868,1.6695833350413367,2.6073755746806095
UP30_SCORE70_NIKKEION_TP3.5_SL1.25_H1,VALIDATION,62,2.87829068669671,6.246761365275235,0.0,1.9223929311771506,28.604783541613845,1.3177572036009495,0.06375113592758584,1.4523037971141628,2.6600459568987787
UP30_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,36,3.714907165346645,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP30_SCORE80_NIKKEION_TP3.5_SL1.25_H1,VALIDATION,36,3.636405033302921,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP30_SCORE80_NIKKEION_TP3.5_SL1.5_H1,VALIDATION,36,3.509861770837171,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP30_SCORE80_NIKKEION_TP3.5_SL1.75_H1,VALIDATION,36,3.3848241807079806,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP30_SCORE80_NIKKEION_TP3.5_SL2.0_H1,VALIDATION,36,3.2612651249605005,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP30_SCORE80_NIKKEION_TP4.0_SL1.0_H1,VALIDATION,36,3.8390619875108225,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP30_SCORE80_NIKKEION_TP4.0_SL1.0_H3,VALIDATION,30,3.7639657898208516,6.5438147873303905,0.0,2.007056321584583,30.905885722455213,2.697085425928165,0.07830153359807437,1.6539403772156664,2.6576372667728747
UP30_SCORE80_NIKKEION_TP4.0_SL1.25_H1,VALIDATION,36,3.7605598554670987,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP30_SCORE80_NIKKEION_TP4.0_SL1.25_H3,VALIDATION,29,3.7811878050599326,6.4694790362208625,0.0,2.0256990149925977,31.126227574212088,2.8615552288947783,0.07444100129724868,1.6695833350413367,2.6073755746806095
UP30_SCORE80_NIKKEION_TP4.0_SL1.5_H1,VALIDATION,36,3.6340165930013484,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP30_SCORE80_NIKKEION_TP4.0_SL1.5_H3,VALIDATION,29,3.624099617171414,6.4694790362208625,0.0,2.0256990149925977,31.126227574212088,2.8615552288947783,0.07444100129724868,1.6695833350413367,2.6073755746806095
UP30_SCORE80_NIKKEION_TP4.0_SL1.75_H1,VALIDATION,36,3.508979002872158,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP30_SCORE80_NIKKEION_TP4.0_SL1.75_H3,VALIDATION,29,3.468880539769661,6.4694790362208625,0.0,2.0256990149925977,31.126227574212088,2.8615552288947783,0.07444100129724868,1.6695833350413367,2.6073755746806095
UP30_SCORE80_NIKKEION_TP4.0_SL2.0_H1,VALIDATION,36,3.385419947124679,6.411587761243954,0.0,1.909036351884913,30.13669855301369,2.396112555220703,0.07549351792290158,1.644256208199756,2.6081663168933336
UP30_SCORE80_NIKKEION_TP4.0_SL2.0_H3,VALIDATION,29,3.3154968843589963,6.4694790362208625,0.0,2.0256990149925977,31.126227574212088,2.8615552288947783,0.07444100129724868,1.6695833350413367,2.6073755746806095
