strategy,phase,date,ticker,result,return,hold_days,gc_gap,gc_approach,gc_slope,adx,breakout20,relative_strength,volume_surge,atr_ratio,vol,rsi
UP50_SCORE50_NIKKEION_TP3.5_SL1.5_H5,VALIDATION,2022-12-21,3086.T,WIN,8.519624336112786,1,,,,,,,,2.4627498103179395,1.174791018222269,47.53072192385792
UP50_SCORE50_NIKKEION_TP3.5_SL1.5_H5,VALIDATION,2022-12-23,2501.T,WIN,7.567841098342754,2,,,,,,,,2.190811742383647,2.8468833075427527,30.361047048143405
UP50_SCORE50_NIKKEION_TP3.5_SL1.5_H5,VALIDATION,2022-12-28,7011.T,TIMEOUT_LOSS,-1.8820277253868256,5,,,,,,,,2.681876101680743,0.7320221971673294,52.28575200861093
UP50_SCORE50_NIKKEION_TP3.5_SL1.5_H5,VALIDATION,2022-12-29,8304.T,WIN,5.099048781669591,1,,,,,,,,1.4854425090484513,1.4109165508338506,51.17401682705281
UP50_SCORE50_NIKKEION_TP4.0_SL2.0_H5,VALIDATION,2022-12-21,3086.T,WIN,9.750999241271751,1,,,,,,,,2.4627498103179395,1.174791018222269,47.53072192385792
UP50_SCORE50_NIKKEION_TP4.0_SL2.0_H5,VALIDATION,2022-12-23,2501.T,WIN,8.663246969534589,3,,,,,,,,2.190811742383647,2.8468833075427527,30.361047048143405
UP50_SCORE50_NIKKEION_TP4.0_SL2.0_H5,VALIDATION,2022-12-28,7011.T,TIMEOUT_LOSS,-1.8820277253868256,5,,,,,,,,2.681876101680743,0.7320221971673294,52.28575200861093
UP50_SCORE50_NIKKEION_TP4.0_SL2.0_H5,VALIDATION,2022-12-29,8304.T,WIN,5.841770036193806,1,,,,,,,,1.4854425090484513,1.4109165508338506,51.17401682705281
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.0_H1,VALIDATION,2022-12-21,3086.T,WIN,7.28824943095382,1,,,,,,,,2.4627498103179395,1.174791018222269,47.53072192385792
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.0_H1,VALIDATION,2022-12-23,2501.T,WIN,6.4724352271509416,1,,,,,,,,2.190811742383647,2.8468833075427527,30.361047048143405
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.0_H1,VALIDATION,2022-12-28,7011.T,HOLD,2.6898777820072106,1,,,,,,,,2.681876101680743,0.7320221971673294,52.28575200861093
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.0_H1,VALIDATION,2022-12-29,8304.T,WIN,4.356327527145354,1,,,,,,,,1.4854425090484513,1.4109165508338506,51.17401682705281
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.0_H5,VALIDATION,2022-12-21,3086.T,WIN,7.28824943095382,1,,,,,,,,2.4627498103179395,1.174791018222269,47.53072192385792
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.0_H5,VALIDATION,2022-12-23,2501.T,WIN,6.4724352271509416,1,,,,,,,,2.190811742383647,2.8468833075427527,30.361047048143405
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.0_H5,VALIDATION,2022-12-28,7011.T,LOSS,-2.781876101680747,4,,,,,,,,2.681876101680743,0.7320221971673294,52.28575200861093
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.0_H5,VALIDATION,2022-12-29,8304.T,WIN,4.356327527145354,1,,,,,,,,1.4854425090484513,1.4109165508338506,51.17401682705281
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.25_H1,VALIDATION,2022-12-21,3086.T,WIN,7.28824943095382,1,,,,,,,,2.4627498103179395,1.174791018222269,47.53072192385792
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.25_H1,VALIDATION,2022-12-23,2501.T,WIN,6.4724352271509416,1,,,,,,,,2.190811742383647,2.8468833075427527,30.361047048143405
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.25_H1,VALIDATION,2022-12-28,7011.T,HOLD,2.6898777820072106,1,,,,,,,,2.681876101680743,0.7320221971673294,52.28575200861093
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.25_H1,VALIDATION,2022-12-29,8304.T,WIN,4.356327527145354,1,,,,,,,,1.4854425090484513,1.4109165508338506,51.17401682705281
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.25_H5,VALIDATION,2022-12-21,3086.T,WIN,7.28824943095382,1,,,,,,,,2.4627498103179395,1.174791018222269,47.53072192385792
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.25_H5,VALIDATION,2022-12-23,2501.T,WIN,6.4724352271509416,1,,,,,,,,2.190811742383647,2.8468833075427527,30.361047048143405
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.25_H5,VALIDATION,2022-12-28,7011.T,LOSS,-3.452345127100931,4,,,,,,,,2.681876101680743,0.7320221971673294,52.28575200861093
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.25_H5,VALIDATION,2022-12-29,8304.T,WIN,4.356327527145354,1,,,,,,,,1.4854425090484513,1.4109165508338506,51.17401682705281
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.5_H1,VALIDATION,2022-12-21,3086.T,WIN,7.28824943095382,1,,,,,,,,2.4627498103179395,1.174791018222269,47.53072192385792
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.5_H1,VALIDATION,2022-12-23,2501.T,WIN,6.4724352271509416,1,,,,,,,,2.190811742383647,2.8468833075427527,30.361047048143405
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.5_H1,VALIDATION,2022-12-28,7011.T,HOLD,2.6898777820072106,1,,,,,,,,2.681876101680743,0.7320221971673294,52.28575200861093
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.5_H1,VALIDATION,2022-12-29,8304.T,WIN,4.356327527145354,1,,,,,,,,1.4854425090484513,1.4109165508338506,51.17401682705281
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.5_H5,VALIDATION,2022-12-21,3086.T,WIN,7.28824943095382,1,,,,,,,,2.4627498103179395,1.174791018222269,47.53072192385792
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.5_H5,VALIDATION,2022-12-23,2501.T,WIN,6.4724352271509416,1,,,,,,,,2.190811742383647,2.8468833075427527,30.361047048143405
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.5_H5,VALIDATION,2022-12-28,7011.T,TIMEOUT_LOSS,-1.8820277253868256,5,,,,,,,,2.681876101680743,0.7320221971673294,52.28575200861093
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.5_H5,VALIDATION,2022-12-29,8304.T,WIN,4.356327527145354,1,,,,,,,,1.4854425090484513,1.4109165508338506,51.17401682705281
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.75_H1,VALIDATION,2022-12-21,3086.T,WIN,7.28824943095382,1,,,,,,,,2.4627498103179395,1.174791018222269,47.53072192385792
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.75_H1,VALIDATION,2022-12-23,2501.T,WIN,6.4724352271509416,1,,,,,,,,2.190811742383647,2.8468833075427527,30.361047048143405
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.75_H1,VALIDATION,2022-12-28,7011.T,HOLD,2.6898777820072106,1,,,,,,,,2.681876101680743,0.7320221971673294,52.28575200861093
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.75_H1,VALIDATION,2022-12-29,8304.T,WIN,4.356327527145354,1,,,,,,,,1.4854425090484513,1.4109165508338506,51.17401682705281
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.75_H5,VALIDATION,2022-12-21,3086.T,WIN,7.28824943095382,1,,,,,,,,2.4627498103179395,1.174791018222269,47.53072192385792
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.75_H5,VALIDATION,2022-12-23,2501.T,WIN,6.4724352271509416,1,,,,,,,,2.190811742383647,2.8468833075427527,30.361047048143405
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.75_H5,VALIDATION,2022-12-28,7011.T,TIMEOUT_LOSS,-1.8820277253868256,5,,,,,,,,2.681876101680743,0.7320221971673294,52.28575200861093
UP50_SCORE50_NIKKEIOFF_TP3.0_SL1.75_H5,VALIDATION,2022-12-29,8304.T,WIN,4.356327527145354,1,,,,,,,,1.4854425090484513,1.4109165508338506,51.17401682705281
UP50_SCORE50_NIKKEION_TP3.0_SL1.5_H1,VALIDATION,2022-12-21,3086.T,WIN,7.28824943095382,1,,,,,,,,2.4627498103179395,1.174791018222269,47.53072192385792
UP50_SCORE50_NIKKEION_TP3.0_SL1.5_H1,VALIDATION,2022-12-23,2501.T,WIN,6.4724352271509416,1,,,,,,,,2.190811742383647,2.8468833075427527,30.361047048143405
UP50_SCORE50_NIKKEION_TP3.0_SL1.5_H1,VALIDATION,2022-12-28,7011.T,HOLD,2.6898777820072106,1,,,,,,,,2.681876101680743,0.7320221971673294,52.28575200861093
UP50_SCORE50_NIKKEION_TP3.0_SL1.5_H1,VALIDATION,2022-12-29,8304.T,WIN,4.356327527145354,1,,,,,,,,1.4854425090484513,1.4109165508338506,51.17401682705281
UP50_SCORE50_NIKKEION_TP3.0_SL1.5_H5,VALIDATION,2022-12-21,3086.T,WIN,7.28824943095382,1,,,,,,,,2.4627498103179395,1.174791018222269,47.53072192385792
UP50_SCORE50_NIKKEION_TP3.0_SL1.5_H5,VALIDATION,2022-12-23,2501.T,WIN,6.4724352271509416,1,,,,,,,,2.190811742383647,2.8468833075427527,30.361047048143405
UP50_SCORE50_NIKKEION_TP3.0_SL1.5_H5,VALIDATION,2022-12-28,7011.T,TIMEOUT_LOSS,-1.8820277253868256,5,,,,,,,,2.681876101680743,0.7320221971673294,52.28575200861093
UP50_SCORE50_NIKKEION_TP3.0_SL1.5_H5,VALIDATION,2022-12-29,8304.T,WIN,4.356327527145354,1,,,,,,,,1.4854425090484513,1.4109165508338506,51.17401682705281
UP50_SCORE50_NIKKEION_TP3.0_SL1.75_H1,VALIDATION,2022-12-21,3086.T,WIN,7.28824943095382,1,,,,,,,,2.4627498103179395,1.174791018222269,47.53072192385792
UP50_SCORE50_NIKKEION_TP3.0_SL1.75_H1,VALIDATION,2022-12-23,2501.T,WIN,6.4724352271509416,1,,,,,,,,2.190811742383647,2.8468833075427527,30.361047048143405
UP50_SCORE50_NIKKEION_TP3.0_SL1.75_H1,VALIDATION,2022-12-28,7011.T,HOLD,2.6898777820072106,1,,,,,,,,2.681876101680743,0.7320221971673294,52.28575200861093
UP50_SCORE50_NIKKEION_TP3.0_SL1.75_H1,VALIDATION,2022-12-29,8304.T,WIN,4.356327527145354,1,,,,,,,,1.4854425090484513,1.4109165508338506,51.17401682705281
UP50_SCORE50_NIKKEIOFF_TP3.0_SL2.0_H1,VALIDATION,2022-12-21,3086.T,WIN,7.28824943095382,1,,,,,,,,2.4627498103179395,1.174791018222269,47.53072192385792
UP50_SCORE50_NIKKEIOFF_TP3.0_SL2.0_H1,VALIDATION,2022-12-23,2501.T,WIN,6.4724352271509416,1,,,,,,,,2.190811742383647,2.8468833075427527,30.361047048143405
UP50_SCORE50_NIKKEIOFF_TP3.0_SL2.0_H1,VALIDATION,2022-12-28,7011.T,HOLD,2.6898777820072106,1,,,,,,,,2.681876101680743,0.7320221971673294,52.28575200861093
UP50_SCORE50_NIKKEIOFF_TP3.0_SL2.0_H1,VALIDATION,2022-12-29,8304.T,WIN,4.356327527145354,1,,,,,,,,1.4854425090484513,1.4109165508338506,51.17401682705281
UP50_SCORE50_NIKKEIOFF_TP3.0_SL2.0_H5,VALIDATION,2022-12-21,3086.T,WIN,7.28824943095382,1,,,,,,,,2.4627498103179395,1.174791018222269,47.53072192385792
UP50_SCORE50_NIKKEIOFF_TP3.0_SL2.0_H5,VALIDATION,2022-12-23,2501.T,WIN,6.4724352271509416,1,,,,,,,,2.190811742383647,2.8468833075427527,30.361047048143405
UP50_SCORE50_NIKKEIOFF_TP3.0_SL2.0_H5,VALIDATION,2022-12-28,7011.T,TIMEOUT_LOSS,-1.8820277253868256,5,,,,,,,,2.681876101680743,0.7320221971673294,52.28575200861093
UP50_SCORE50_NIKKEIOFF_TP3.0_SL2.0_H5,VALIDATION,2022-12-29,8304.T,WIN,4.356327527145354,1,,,,,,,,1.4854425090484513,1.4109165508338506,51.17401682705281
UP50_SCORE50_NIKKEIOFF_TP3.5_SL1.0_H1,VALIDATION,2022-12-21,3086.T,WIN,8.519624336112786,1,,,,,,,,2.4627498103179395,1.174791018222269,47.53072192385792
UP50_SCORE50_NIKKEIOFF_TP3.5_SL1.0_H1,VALIDATION,2022-12-23,2501.T,HOLD,6.4724352271509416,1,,,,,,,,2.190811742383647,2.8468833075427527,30.361047048143405
UP50_SCORE50_NIKKEIOFF_TP3.5_SL1.0_H1,VALIDATION,2022-12-28,7011.T,HOLD,2.6898777820072106,1,,,,,,,,2.681876101680743,0.7320221971673294,52.28575200861093
UP50_SCORE50_NIKKEIOFF_TP3.5_SL1.0_H1,VALIDATION,2022-12-29,8304.T,WIN,5.099048781669591,1,,,,,,,,1.4854425090484513,1.4109165508338506,51.17401682705281
UP50_SCORE50_NIKKEIOFF_TP3.5_SL1.0_H5,VALIDATION,2022-12-21,3086.T,WIN,8.519624336112786,1,,,,,,,,2.4627498103179395,1.174791018222269,47.53072192385792
