fold,phase,phase_start,phase_end,phase_days,candidate_rows,UP45_plus,UP_excluded,UP_gt_DOWN,UP_gt_DOWN_excluded,FLAT_lt_50,FLAT_excluded,SCORE50_plus,SCORE_excluded,NIKKEI_uptrend_reference
2,DEV,2022-01-27,2022-12-22,215,47034,957,46077,957,0,957,0,113,844,30
2,VALIDATION,2023-01-19,2023-08-09,134,29415,302,29113,302,0,302,0,215,87,215
2,OOS,2023-08-31,2024-08-22,232,51379,2412,48967,2412,0,2412,0,307,2105,242
