strategy,up,score,nikkei,tp,sl,hold,dev_signals,dev_losses,dev_holds,dev_avg_return,dev_pf,dev_dd,dev_annual_signals,dev_positive_months,dev_months,dev_monthly_positive_ratio,dev_monthly_plus5_ratio,dev_avg_month_return,dev_avg_month_profit_jpy,dev_worst_month_return,dev_oos_cumulative_return,dev_compound_return,dev_compound_final_capital,dev_expected_value,dev_avg_win,dev_avg_loss,devh1_signals,devh1_losses,devh1_holds,devh1_avg_return,devh1_pf,devh1_dd,devh1_annual_signals,devh1_positive_months,devh1_months,devh1_monthly_positive_ratio,devh1_monthly_plus5_ratio,devh1_avg_month_return,devh1_avg_month_profit_jpy,devh1_worst_month_return,devh1_oos_cumulative_return,devh1_compound_return,devh1_compound_final_capital,devh1_expected_value,devh1_avg_win,devh1_avg_loss,devh2_signals,devh2_losses,devh2_holds,devh2_avg_return,devh2_pf,devh2_dd,devh2_annual_signals,devh2_positive_months,devh2_months,devh2_monthly_positive_ratio,devh2_monthly_plus5_ratio,devh2_avg_month_return,devh2_avg_month_profit_jpy,devh2_worst_month_return,devh2_oos_cumulative_return,devh2_compound_return,devh2_compound_final_capital,devh2_expected_value,devh2_avg_win,devh2_avg_loss,dev_objective,devh1_objective,devh2_objective,stability_objective,validation_signals,validation_losses,validation_holds,validation_avg_return,validation_pf,validation_dd,validation_annual_signals,validation_positive_months,validation_months,validation_monthly_positive_ratio,validation_monthly_plus5_ratio,validation_avg_month_return,validation_avg_month_profit_jpy,validation_worst_month_return,validation_oos_cumulative_return,validation_compound_return,validation_compound_final_capital,validation_expected_value,validation_avg_win,validation_avg_loss,validation_avg_lower,validation_pass,oos_signals,oos_losses,oos_holds,oos_avg_return,oos_pf,oos_dd,oos_annual_signals,oos_positive_months,oos_months,oos_monthly_positive_ratio,oos_monthly_plus5_ratio,oos_avg_month_return,oos_avg_month_profit_jpy,oos_worst_month_return,oos_oos_cumulative_return,oos_compound_return,oos_compound_final_capital,oos_expected_value,oos_avg_win,oos_avg_loss,oos_pf_ratio,oos_insufficient_data,oos_pass,profit_objective,sizing,prob_10y,prob_15y,prob_20y,bankruptcy_prob,p90_max_dd,final_status,up_threshold,score_threshold,nikkei_filter,tp_multiplier,sl_multiplier,hold_days,oos_validation_pf_ratio,fold,oos_end
UP20_SCORE20_NIKKEIOFF_TP4.0_SL1.0_H1,20,20,False,4.0,1.0,1,225,69,100,4.297535728492629,5.886945849108587,-23.8628316401015,116.2393917963225,21,25,84.0,76.0,57.16403109480011,571640.3109480011,-21.087535472254835,924839.8338161748,924839.8338161748,9249398338.161749,4.297535728492629,7.466721104688301,-2.867579035080195,119,26,57,4.79674707202106,9.46514261856108,-14.00239160718002,120.06837016574586,11,13,84.61538461538461,76.92307692307693,65.2779862397755,652779.862397755,-4.054226868170085,23146.363087644226,23146.363087644226,232463630.87644225,4.79674707202106,6.862837485731689,-2.5934994077900404,106,43,43,3.7371003522673143,4.037082403418348,-23.86283164010147,118.03810975609755,10,12,83.33333333333334,75.0,48.37391302107678,483739.1302107679,-21.087535472254835,3878.858242594493,3878.858242594493,39788582.425944924,3.7371003522673143,8.358168351719488,-3.033301600418428,155.4304186435359,156.65966424443158,153.7157232615908,153.7157232615908,179,32,76,8.247275752724049,19.89530712027913,-11.600680703231712,100.89467592592592,18,22,81.81818181818183,81.81818181818183,132.73622024572632,1327362.2024572631,-5.710174214310626,96850180.62211011,96850180.62211011,968502806221.1012,8.247275752724049,10.574087609876672,-2.441516216070831,5.827628581582733,True,201,58,97,4.141560003340092,6.81351534702099,-24.091744894874022,126.36015490533563,17,20,85.0,80.0,57.57173495591983,575717.3495591984,-8.912212818685983,265445.1996748935,265445.1996748935,2655451996.748935,4.141560003340092,6.822701847281364,-2.468841439480631,0.3424684678567252,False,True,279.8743180296213,0.01,100.0,100.0,100.0,0.0,0.0,PASS,20,20,False,4.0,1.0,1,0.3424684678567252,2,2024-09-04
UP25_SCORE20_NIKKEIOFF_TP4.0_SL1.0_H1,25,20,False,4.0,1.0,1,225,69,100,4.297535728492629,5.886945849108587,-23.8628316401015,116.2393917963225,21,25,84.0,76.0,57.16403109480011,571640.3109480011,-21.087535472254835,924839.8338161748,924839.8338161748,9249398338.161749,4.297535728492629,7.466721104688301,-2.867579035080195,119,26,57,4.79674707202106,9.46514261856108,-14.00239160718002,120.06837016574586,11,13,84.61538461538461,76.92307692307693,65.2779862397755,652779.862397755,-4.054226868170085,23146.363087644226,23146.363087644226,232463630.87644225,4.79674707202106,6.862837485731689,-2.5934994077900404,106,43,43,3.7371003522673143,4.037082403418348,-23.86283164010147,118.03810975609755,10,12,83.33333333333334,75.0,48.37391302107678,483739.1302107679,-21.087535472254835,3878.858242594493,3878.858242594493,39788582.425944924,3.7371003522673143,8.358168351719488,-3.033301600418428,155.4304186435359,156.65966424443158,153.7157232615908,153.7157232615908,179,32,76,8.247275752724049,19.89530712027913,-11.600680703231712,100.89467592592592,18,22,81.81818181818183,81.81818181818183,132.73622024572632,1327362.2024572631,-5.710174214310626,96850180.62211011,96850180.62211011,968502806221.1012,8.247275752724049,10.574087609876672,-2.441516216070831,5.827628581582733,True,201,58,97,4.141560003340092,6.81351534702099,-24.091744894874022,126.36015490533563,17,20,85.0,80.0,57.57173495591983,575717.3495591984,-8.912212818685983,265445.1996748935,265445.1996748935,2655451996.748935,4.141560003340092,6.822701847281364,-2.468841439480631,0.3424684678567252,False,True,279.8743180296213,0.01,100.0,100.0,100.0,0.0,0.0,PASS,25,20,False,4.0,1.0,1,0.3424684678567252,2,2024-09-04
UP20_SCORE30_NIKKEIOFF_TP4.0_SL1.0_H1,20,30,False,4.0,1.0,1,225,69,100,4.297535728492629,5.886945849108587,-23.8628316401015,116.2393917963225,21,25,84.0,76.0,57.16403109480011,571640.3109480011,-21.087535472254835,924839.8338161748,924839.8338161748,9249398338.161749,4.297535728492629,7.466721104688301,-2.867579035080195,119,26,57,4.79674707202106,9.46514261856108,-14.00239160718002,120.06837016574586,11,13,84.61538461538461,76.92307692307693,65.2779862397755,652779.862397755,-4.054226868170085,23146.363087644226,23146.363087644226,232463630.87644225,4.79674707202106,6.862837485731689,-2.5934994077900404,106,43,43,3.7371003522673143,4.037082403418348,-23.86283164010147,118.03810975609755,10,12,83.33333333333334,75.0,48.37391302107678,483739.1302107679,-21.087535472254835,3878.858242594493,3878.858242594493,39788582.425944924,3.7371003522673143,8.358168351719488,-3.033301600418428,155.4304186435359,156.65966424443158,153.7157232615908,153.7157232615908,176,29,76,8.432773875716501,22.13516994160032,-9.694936474862004,99.2037037037037,18,22,81.81818181818183,81.81818181818183,133.33135644372473,1333313.564437247,-3.677440334518944,104932686.22207732,104932686.22207732,1049327862220.7732,8.432773875716501,10.574087609876672,-2.4214716043367788,5.967333319292793,True,197,58,93,4.068807946233703,6.597733586274171,-24.091744894874022,123.84552495697076,17,20,85.0,80.0,54.92711324684976,549271.1324684976,-8.912212818685983,197325.8768272645,197325.8768272645,1974258768.272645,4.068807946233703,6.796747977682849,-2.468841439480631,0.2980656395989328,False,True,279.6896663277003,0.01,100.0,100.0,100.0,0.0,0.0,PASS,20,30,False,4.0,1.0,1,0.2980656395989328,2,2024-09-04
UP25_SCORE30_NIKKEIOFF_TP4.0_SL1.0_H1,25,30,False,4.0,1.0,1,225,69,100,4.297535728492629,5.886945849108587,-23.8628316401015,116.2393917963225,21,25,84.0,76.0,57.16403109480011,571640.3109480011,-21.087535472254835,924839.8338161748,924839.8338161748,9249398338.161749,4.297535728492629,7.466721104688301,-2.867579035080195,119,26,57,4.79674707202106,9.46514261856108,-14.00239160718002,120.06837016574586,11,13,84.61538461538461,76.92307692307693,65.2779862397755,652779.862397755,-4.054226868170085,23146.363087644226,23146.363087644226,232463630.87644225,4.79674707202106,6.862837485731689,-2.5934994077900404,106,43,43,3.7371003522673143,4.037082403418348,-23.86283164010147,118.03810975609755,10,12,83.33333333333334,75.0,48.37391302107678,483739.1302107679,-21.087535472254835,3878.858242594493,3878.858242594493,39788582.425944924,3.7371003522673143,8.358168351719488,-3.033301600418428,155.4304186435359,156.65966424443158,153.7157232615908,153.7157232615908,176,29,76,8.432773875716501,22.13516994160032,-9.694936474862004,99.2037037037037,18,22,81.81818181818183,81.81818181818183,133.33135644372473,1333313.564437247,-3.677440334518944,104932686.22207732,104932686.22207732,1049327862220.7732,8.432773875716501,10.574087609876672,-2.4214716043367788,5.967333319292793,True,197,58,93,4.068807946233703,6.597733586274171,-24.091744894874022,123.84552495697076,17,20,85.0,80.0,54.92711324684976,549271.1324684976,-8.912212818685983,197325.8768272645,197325.8768272645,1974258768.272645,4.068807946233703,6.796747977682849,-2.468841439480631,0.2980656395989328,False,True,279.6896663277003,0.01,100.0,100.0,100.0,0.0,0.0,PASS,25,30,False,4.0,1.0,1,0.2980656395989328,2,2024-09-04
UP20_SCORE40_NIKKEIOFF_TP4.0_SL1.0_H1,20,40,False,4.0,1.0,1,224,69,99,4.303645749780875,5.872143224820953,-23.86283164010148,115.72277227722772,21,25,84.0,76.0,56.95470264733504,569547.0264733504,-21.087535472254835,898520.22721715,898520.22721715,8986202272.171501,4.303645749780875,7.495997428202899,-2.867579035080195,119,26,57,4.79674707202106,9.46514261856108,-14.00239160718002,120.06837016574586,11,13,84.61538461538461,76.92307692307693,65.2779862397755,652779.862397755,-4.054226868170085,23146.363087644226,23146.363087644226,232463630.87644225,4.79674707202106,6.862837485731689,-2.5934994077900404,105,43,42,3.744797584575332,4.014627088310649,-23.86283164010148,116.92454268292684,10,12,83.33333333333334,75.0,47.93781208885789,479378.1208885789,-21.087535472254835,3765.637922926448,3765.637922926448,38656379.22926448,3.744797584575332,8.445737341909714,-3.033301600418428,155.43958367546824,156.65966424443158,153.7115503894774,153.7115503894774,176,29,76,8.432773875716501,22.13516994160032,-9.694936474862004,99.2037037037037,18,22,81.81818181818183,81.81818181818183,133.33135644372473,1333313.564437247,-3.677440334518944,104932686.22207732,104932686.22207732,1049327862220.7732,8.432773875716501,10.574087609876672,-2.4214716043367788,5.967333319292793,True,196,58,93,4.039918829011069,6.529775737243317,-24.09174489487401,123.21686746987952,17,20,85.0,80.0,54.35091726382118,543509.1726382117,-8.912212818685983,179817.92841529602,179817.92841529602,1799179284.1529603,4.039918829011069,6.775484738956857,-2.468841439480631,0.2949955096107669,False,True,279.6225474047056,0.01,100.0,100.0,100.0,0.0,0.0,PASS,20,40,False,4.0,1.0,1,0.2949955096107669,2,2024-09-04
UP25_SCORE40_NIKKEIOFF_TP4.0_SL1.0_H1,25,40,False,4.0,1.0,1,224,69,99,4.303645749780875,5.872143224820953,-23.86283164010148,115.72277227722772,21,25,84.0,76.0,56.95470264733504,569547.0264733504,-21.087535472254835,898520.22721715,898520.22721715,8986202272.171501,4.303645749780875,7.495997428202899,-2.867579035080195,119,26,57,4.79674707202106,9.46514261856108,-14.00239160718002,120.06837016574586,11,13,84.61538461538461,76.92307692307693,65.2779862397755,652779.862397755,-4.054226868170085,23146.363087644226,23146.363087644226,232463630.87644225,4.79674707202106,6.862837485731689,-2.5934994077900404,105,43,42,3.744797584575332,4.014627088310649,-23.86283164010148,116.92454268292684,10,12,83.33333333333334,75.0,47.93781208885789,479378.1208885789,-21.087535472254835,3765.637922926448,3765.637922926448,38656379.22926448,3.744797584575332,8.445737341909714,-3.033301600418428,155.43958367546824,156.65966424443158,153.7115503894774,153.7115503894774,176,29,76,8.432773875716501,22.13516994160032,-9.694936474862004,99.2037037037037,18,22,81.81818181818183,81.81818181818183,133.33135644372473,1333313.564437247,-3.677440334518944,104932686.22207732,104932686.22207732,1049327862220.7732,8.432773875716501,10.574087609876672,-2.4214716043367788,5.967333319292793,True,196,58,93,4.039918829011069,6.529775737243317,-24.09174489487401,123.21686746987952,17,20,85.0,80.0,54.35091726382118,543509.1726382117,-8.912212818685983,179817.92841529602,179817.92841529602,1799179284.1529603,4.039918829011069,6.775484738956857,-2.468841439480631,0.2949955096107669,False,True,279.6225474047056,0.01,100.0,100.0,100.0,0.0,0.0,PASS,25,40,False,4.0,1.0,1,0.2949955096107669,2,2024-09-04
UP30_SCORE20_NIKKEIOFF_TP4.0_SL1.0_H1,30,20,False,4.0,1.0,1,225,69,100,4.297535728492629,5.886945849108587,-23.8628316401015,116.2393917963225,21,25,84.0,76.0,57.16403109480011,571640.3109480011,-21.087535472254835,924839.8338161748,924839.8338161748,9249398338.161749,4.297535728492629,7.466721104688301,-2.867579035080195,119,26,57,4.79674707202106,9.46514261856108,-14.00239160718002,120.06837016574586,11,13,84.61538461538461,76.92307692307693,65.2779862397755,652779.862397755,-4.054226868170085,23146.363087644226,23146.363087644226,232463630.87644225,4.79674707202106,6.862837485731689,-2.5934994077900404,106,43,43,3.7371003522673143,4.037082403418348,-23.86283164010147,118.03810975609755,10,12,83.33333333333334,75.0,48.37391302107678,483739.1302107679,-21.087535472254835,3878.858242594493,3878.858242594493,39788582.425944924,3.7371003522673143,8.358168351719488,-3.033301600418428,155.4304186435359,156.65966424443158,153.7157232615908,153.7157232615908,178,32,75,8.274954138195344,19.85280633842665,-11.600680703231712,100.48608964451314,18,22,81.81818181818183,81.81818181818183,132.32488789254364,1323248.8789254364,-5.710174214310626,93737598.64867158,93737598.64867158,937376986486.7158,8.274954138195344,10.623769558308478,-2.441516216070831,5.797177019410329,True,199,59,94,4.045277441031878,6.498510725538288,-24.091744894874022,125.1028399311532,17,20,85.0,80.0,54.91285494017783,549128.5494017783,-8.912212818685983,203722.2085020882,203722.2085020882,2038222085.020882,4.045277441031878,6.795823905720645,-2.4814429836533285,0.3273346153062459,False,True,279.61964256864,0.01,100.0,100.0,100.0,0.0,0.0,PASS,30,20,False,4.0,1.0,1,0.3273346153062459,2,2024-09-04
UP30_SCORE30_NIKKEIOFF_TP4.0_SL1.0_H1,30,30,False,4.0,1.0,1,225,69,100,4.297535728492629,5.886945849108587,-23.8628316401015,116.2393917963225,21,25,84.0,76.0,57.16403109480011,571640.3109480011,-21.087535472254835,924839.8338161748,924839.8338161748,9249398338.161749,4.297535728492629,7.466721104688301,-2.867579035080195,119,26,57,4.79674707202106,9.46514261856108,-14.00239160718002,120.06837016574586,11,13,84.61538461538461,76.92307692307693,65.2779862397755,652779.862397755,-4.054226868170085,23146.363087644226,23146.363087644226,232463630.87644225,4.79674707202106,6.862837485731689,-2.5934994077900404,106,43,43,3.7371003522673143,4.037082403418348,-23.86283164010147,118.03810975609755,10,12,83.33333333333334,75.0,48.37391302107678,483739.1302107679,-21.087535472254835,3878.858242594493,3878.858242594493,39788582.425944924,3.7371003522673143,8.358168351719488,-3.033301600418428,155.4304186435359,156.65966424443158,153.7157232615908,153.7157232615908,175,29,75,8.461986737070122,22.087884316740737,-9.694936474862004,98.79250386398763,18,22,81.81818181818183,81.81818181818183,132.92002409054206,1329200.2409054206,-3.677440334518944,101560348.0448458,101560348.0448458,1015604480448.458,8.461986737070122,10.623769558308478,-2.4214716043367788,6.011653733161337,True,197,59,92,4.010685401643441,6.396702913017511,-24.09174489487401,123.84552495697076,17,20,85.0,80.0,53.90879275427913,539087.9275427914,-8.912212818685983,176440.8070980313,176440.8070980313,1765408070.980313,4.010685401643441,6.786305508400757,-2.4814429836533285,0.2896023367964379,False,True,279.5321217751751,0.01,100.0,100.0,100.0,0.0,0.0,PASS,30,30,False,4.0,1.0,1,0.2896023367964379,2,2024-09-04
UP20_SCORE50_NIKKEIOFF_TP4.0_SL1.0_H1,20,50,False,4.0,1.0,1,224,69,99,4.303645749780875,5.872143224820953,-23.86283164010148,115.72277227722772,21,25,84.0,76.0,56.95470264733504,569547.0264733504,-21.087535472254835,898520.22721715,898520.22721715,8986202272.171501,4.303645749780875,7.495997428202899,-2.867579035080195,119,26,57,4.79674707202106,9.46514261856108,-14.00239160718002,120.06837016574586,11,13,84.61538461538461,76.92307692307693,65.2779862397755,652779.862397755,-4.054226868170085,23146.363087644226,23146.363087644226,232463630.87644225,4.79674707202106,6.862837485731689,-2.5934994077900404,105,43,42,3.744797584575332,4.014627088310649,-23.86283164010148,116.92454268292684,10,12,83.33333333333334,75.0,47.93781208885789,479378.1208885789,-21.087535472254835,3765.637922926448,3765.637922926448,38656379.22926448,3.744797584575332,8.445737341909714,-3.033301600418428,155.43958367546824,156.65966424443158,153.7115503894774,153.7115503894774,175,29,75,8.461986737070122,22.087884316740737,-9.694936474862004,98.79250386398763,18,22,81.81818181818183,81.81818181818183,132.92002409054206,1329200.2409054206,-3.677440334518944,101560348.0448458,101560348.0448458,1015604480448.458,8.461986737070122,10.623769558308478,-2.4214716043367788,6.011653733161337,True,194,58,91,4.011004115226521,6.367966050962713,-24.091744894874036,121.95955249569708,17,20,85.0,80.0,53.20841988831761,532084.1988831761,-8.912212818685983,157343.48424394126,157343.48424394126,1574434842.4394126,4.011004115226521,6.7874541360776295,-2.4992924853898715,0.2883013130477298,False,True,279.5225419438305,0.01,100.0,100.0,100.0,0.0,0.0,PASS,20,50,False,4.0,1.0,1,0.2883013130477298,2,2024-09-04
UP30_SCORE50_NIKKEIOFF_TP4.0_SL1.0_H1,30,50,False,4.0,1.0,1,224,69,99,4.303645749780875,5.872143224820953,-23.86283164010148,115.72277227722772,21,25,84.0,76.0,56.95470264733504,569547.0264733504,-21.087535472254835,898520.22721715,898520.22721715,8986202272.171501,4.303645749780875,7.495997428202899,-2.867579035080195,119,26,57,4.79674707202106,9.46514261856108,-14.00239160718002,120.06837016574586,11,13,84.61538461538461,76.92307692307693,65.2779862397755,652779.862397755,-4.054226868170085,23146.363087644226,23146.363087644226,232463630.87644225,4.79674707202106,6.862837485731689,-2.5934994077900404,105,43,42,3.744797584575332,4.014627088310649,-23.86283164010148,116.92454268292684,10,12,83.33333333333334,75.0,47.93781208885789,479378.1208885789,-21.087535472254835,3765.637922926448,3765.637922926448,38656379.22926448,3.744797584575332,8.445737341909714,-3.033301600418428,155.43958367546824,156.65966424443158,153.7115503894774,153.7115503894774,175,29,75,8.461986737070122,22.087884316740737,-9.694936474862004,98.79250386398763,18,22,81.81818181818183,81.81818181818183,132.92002409054206,1329200.2409054206,-3.677440334518944,101560348.0448458,101560348.0448458,1015604480448.458,8.461986737070122,10.623769558308478,-2.4214716043367788,6.011653733161337,True,194,58,91,4.011004115226521,6.367966050962713,-24.091744894874036,121.95955249569708,17,20,85.0,80.0,53.20841988831761,532084.1988831761,-8.912212818685983,157343.48424394126,157343.48424394126,1574434842.4394126,4.011004115226521,6.7874541360776295,-2.4992924853898715,0.2883013130477298,False,True,279.5225419438305,0.01,100.0,100.0,100.0,0.0,0.0,PASS,30,50,False,4.0,1.0,1,0.2883013130477298,2,2024-09-04
