fold,phase,phase_start,phase_end,phase_days,candidate_rows,UP45_plus,UP_excluded,UP_gt_DOWN,UP_gt_DOWN_excluded,FLAT_lt_50,FLAT_excluded,SCORE50_plus,SCORE_excluded,NIKKEI_uptrend_reference
1,DEV,2019-01-29,2021-03-16,499,109968,4307,105661,4307,0,4307,0,1250,3057,1189
1,VALIDATION,2021-04-07,2022-08-19,324,71604,1204,70400,1204,0,1204,0,597,607,333
1,OOS,2022-09-12,2023-09-01,232,51424,2176,49248,2176,0,2176,0,203,1973,166
