fold,phase,phase_start,phase_end,phase_days,candidate_rows,UP45_plus,UP_excluded,UP_gt_DOWN,UP_gt_DOWN_excluded,FLAT_lt_50,FLAT_excluded,SCORE50_plus,SCORE_excluded,NIKKEI_uptrend_reference
4,DEV,2019-01-29,2023-01-11,929,204998,8598,196400,8598,0,8598,0,2664,5934,2302
4,VALIDATION,2023-02-02,2025-09-02,611,136532,4531,132001,4531,0,4530,1,505,4025,392
4,OOS,2025-09-25,2026-09-18,232,51314,1529,49785,1529,0,1529,0,1281,248,1275
