strategy,phase,date,ticker,result,return,hold_days,gc_gap,gc_approach,gc_slope,adx,breakout20,relative_strength,volume_surge,atr_ratio,vol,rsi
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-02-17,5233.T,LOSS,-2.240265743011338,1,3.7079631073462265,False,2.7255336698428723,50.59685163642256,2.163773321220175,0.0618450371765304,1.5557385298019304,2.1870749591357113,2.0514057799458647,79.34829747864553
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-03-03,5406.T,WIN,9.601361402662512,1,16.601293059286867,False,7.304385941938651,57.65724155605066,3.929682545378333,0.108154811747176,1.3561932313713811,2.7718175436178605,1.857140360382404,87.09434366449868
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-03-06,5406.T,WIN,9.590413784671105,1,17.44430170601391,False,7.450262995913404,59.51090789958721,1.094534434170158,0.0639736958645946,1.0854235273075423,2.7686896527631717,1.502203260570827,87.66790000803832
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-03-07,5406.T,WIN,9.838768350743942,1,18.56915996537534,False,8.049840185105396,61.42051580349441,5.80707402073688,0.1344776705333039,1.4683086916329136,2.839648100212555,2.0701893640139404,90.18696619747092
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-03-08,6472.T,WIN,8.774131461873436,1,11.793691392431809,False,5.186532635677765,56.35910492592985,3.9772647128034633,0.0364625213065077,1.7083015410129645,2.535466131963841,1.5964971261163212,80.32678853279677
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-03-09,6472.T,WIN,8.846430099275738,1,12.718353485308024,False,5.578458905162775,57.87425238543759,1.3661249220427774,0.053510707892213,1.7736269221170644,2.5561228855073503,2.0280835938094106,81.64247576513762
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-03-10,7532.T,HOLD,2.5956173520402026,1,3.57934538851581,False,1.8802284374659808,28.13455462476528,-2.921340206282974,0.0131222761249232,1.491419817093107,2.5463457920216275,1.7096566069760155,58.65793757339838
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-03-31,3086.T,WIN,9.293577719743585,1,5.591218734252224,False,0.3922630614589417,18.9083750425917,-2.722591960434229,0.0731324350813686,1.394394355908418,2.683879348498164,1.682214813741122,62.68554536947068
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-04-03,6361.T,HOLD,7.312061619278787,1,8.506184878617495,False,1.8395468780269653,31.1500098145576,2.4469697140658164,0.029575537176173,1.44389638163568,2.3847575571308415,1.789481559063365,70.6067957035016
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-04-04,6501.T,HOLD,0.07248998948871108,1,2.071699622197602,False,1.3292995106649386,19.75660420131024,1.1278723475385055,0.025677365756507,1.282528446236461,2.030423161524671,1.5221769100292324,70.37179672624947
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-04-12,3086.T,WIN,8.473295069973064,1,5.1891879394813785,False,0.6168979704750166,19.66318385763046,1.2705672660240808,0.0374533240755767,2.1048578343886755,2.4495128771351586,2.600409263552136,65.77529962314614
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-04-13,7453.T,HOLD,4.523595088367738,1,1.7489969147647129,False,1.2793063460141196,24.852248427994443,-2.112210286941252,0.003522910803136,1.2891770939352212,2.5752141273643074,1.6011953311443716,59.13646797428606
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-04-14,3697.T,TIMEOUT_LOSS,-1.9739454670171575,1,0.0232428631910432,False,2.4349459818938657,18.85680393174206,3.2657725129030317,0.198749028520786,0.8416420653929705,4.121031231711458,1.8575489819439108,70.5419742753867
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-04-17,6752.T,WIN,6.853151360831922,1,2.011696927008004,False,0.5610233687979527,28.39160687023444,3.534137122116165,0.0338437950163432,1.847299929914591,1.9866146745234052,1.8304620405232623,71.88280710995357
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-04-20,8233.T,WIN,7.576991022018065,1,3.079708832677588,False,0.3431941198327015,16.373870758941376,3.7111441379140686,0.0609899776979869,1.335827534712293,2.1934260062908733,2.243134011817903,73.76776199253041
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-04-21,3401.T,WIN,5.532450560938751,1,3.11091482653654,False,0.8942206544360509,25.151309136281863,0.6765897293812939,0.0187882967839982,1.647305725518016,1.609271588839641,1.7742333436801094,68.53153967364551
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-04-25,6503.T,HOLD,3.7857129395625244,1,5.71245141599738,False,1.7581375545532296,32.270373848465425,3.283222051439272,0.0522422538199498,1.8974468543952203,1.733838364601022,2.155498593594048,79.7249513578108
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-04-26,1803.T,WIN,6.7898627466152055,1,4.544681017839892,False,1.22614735225397,19.98255572770122,5.769221156795878,0.0836753978658096,3.422285079390374,1.96853221331863,6.0865440632331405,73.83107069329111
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-04-27,6473.T,WIN,6.817593959674595,1,3.545735010808309,False,1.8461724858480852,14.960535889880283,3.2598374126080243,0.0505797262810066,2.170083380352329,1.9764554170498865,2.898426338292784,67.10944401976272
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-05-02,4062.T,HOLD,0.877990776733817,1,4.013967964127408,False,1.802827779860694,20.67844710310132,9.007358916259475,0.1648387116783389,2.2486169616892635,3.1930608317884377,4.576523959366289,74.71698513579292
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-05-09,5401.T,WIN,7.681525376413568,1,3.1692797564620205,False,0.0771809581786575,16.385289470061405,1.5091862055309102,0.0409650158893653,2.0260078247531066,2.223292964689594,2.4216348728935766,63.07569823930714
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-05-11,7011.T,HOLD,1.480882979105902,1,3.936386781774503,False,1.8826643114449928,26.65555027643829,-3.050100988140348,0.0197410388837424,1.38245604832717,2.1934912485546727,2.628737662337662,62.587450860932655
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-05-12,5406.T,WIN,12.917749455618422,1,10.647702056199629,False,0.5101849227402644,26.34874307607585,6.430570486012077,0.122792842682845,2.4559946967558504,3.719356987319548,5.052158085537815,68.6367535737076
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-05-15,5406.T,WIN,13.278925234830108,1,10.517772635997682,False,1.003843676097271,29.27301569044742,0.1751412230935667,0.1026177263836274,0.804692930651551,3.8225500670943178,1.7922546424440156,68.83350911157027
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-07-03,5301.T,WIN,8.204050186579272,1,1.0289124243318395,False,1.7354498748707314,32.48595241436748,4.552343217160648,0.0600668297288085,1.36051227321238,2.372585767594078,1.6841448882477126,76.7629372090331
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-07-05,9107.T,WIN,12.324907569633192,1,2.7318667281665565,False,2.5892748415969447,27.28884159610994,4.139958926078835,0.1058339989807037,1.781877279606977,3.5499735913237704,2.150751782310317,69.97457682895067
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-07-31,9501.T,HOLD,4.324778761061954,1,3.791303922730215,False,1.0451137354617668,28.32153601378037,2.20694871136653,0.0617786793199137,1.252271118415014,2.7138643067846635,1.6893164607633029,68.31972468321689
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-08-01,9503.T,HOLD,4.4728525466431694,1,9.218902525278128,False,0.8125114581462922,33.75657780992474,2.994650367857621,0.0451094654875701,1.3134711883594414,2.4729824762241837,2.1975362460446903,69.40024921516417
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-08-02,1721.T,WIN,5.085945562905414,1,2.1936578919544885,False,0.3604077377517445,15.20746195746505,0.4713798394324398,0.0200911318243164,1.2449242014076882,1.4816987322586885,1.5294753471356115,70.43135594466963
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-08-10,3099.T,HOLD,6.2533044745411,1,2.5652810232215737,False,2.620791369610842,31.0865625608173,4.647070999001057,0.1357495218972113,1.482628266154003,2.4871544592747057,2.218787281498003,83.46386287314931
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-08-23,7261.T,WIN,9.170614631215214,1,5.953330633827736,False,1.9455706254054796,12.712922279386206,1.999317474014095,0.0386591592768195,1.6638416589958922,2.6487470374900584,1.5720263859369508,64.21073136621517
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-08-24,9503.T,HOLD,7.168778192875858,1,6.790165299928205,False,2.3952872144803905,25.26603796472082,1.4993634488733365,0.0224575652575129,1.5965641004960278,2.413866966395413,1.653979176800246,69.10082640687166
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-09-08,7532.T,LOSS,-2.688737144511777,1,8.479675637493557,False,1.679028045858777,24.41674504278702,-2.65091214148927,0.0434456161818587,1.7597362699688062,2.657533706705184,1.5087604957949283,59.83786312816132
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-09-11,8308.T,LOSS,-2.4343342339654184,1,6.779527408487142,False,2.361567862914238,37.58121180983457,5.531974851245902,0.0782795560669092,1.4313966443575266,2.390127805566289,1.665899299127487,79.10881281792003
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-09-12,8316.T,LOSS,-1.8622223072633837,1,5.680798793482496,False,1.8493987982743043,32.80123201513086,1.014377921943077,0.0721508692990365,1.2587569179361635,1.7938336438912368,1.6274642753207946,80.10967348148594
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-09-13,7911.T,LOSS,-1.9619270288843027,1,6.347391862619838,False,2.157527766895395,41.31752636638992,1.3373428060337922,0.0336186473987289,1.4197563559322033,1.8972524857221378,1.5521359602773637,73.08811188741234
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-09-21,9501.T,HOLD,2.430923944535668,1,12.439084434745476,False,3.3705390033044846,55.35845466158926,3.1764129913268717,0.1079233947128065,1.2387773526238668,2.8613704298891873,1.684289366876984,77.03312199329181
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-09-26,8795.T,LOSS,-2.599819108125112,1,8.073778346459045,False,2.6441213733229496,40.65925246700041,0.3276124643909028,0.031178254618129,1.4798864527695812,2.563912277144735,1.5836332714471573,67.81703220212017
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-09-27,8697.T,LOSS,-2.083644085005165,1,3.347076397629349,False,1.4497719078851778,32.77624669525841,3.4414171644281177,0.0834388476936381,1.6005725384357377,2.0237888528782904,2.222029709001226,79.38086091748926
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-09-28,7211.T,LOSS,-2.785029969374142,1,9.11700917594517,False,3.4500415377709537,39.291493491321226,1.8863068921092017,0.0571910278271358,1.5897506486632105,2.759112979769851,2.021996336198152,71.69810506807518
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-09-29,4519.T,LOSS,-2.446928996996245,1,5.059910043872876,False,0.9370485414617936,28.1225466048837,0.1516243701098707,0.1048133624170686,1.5080802597375482,2.4033335284704487,2.628650714220726,65.25524003573838
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-10-18,4507.T,LOSS,-1.7874188727027729,1,6.17425355742122,False,1.508449532320988,30.56928652164245,3.0333858202946207,0.0563861529149214,1.4191308355962604,1.7163814166549773,2.0595506434959647,72.3994864840383
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-10-31,8354.T,LOSS,-2.7801978272044003,1,6.990529495860397,False,0.789675246115662,20.80184479719154,1.984526680226284,0.0617512278636918,1.2017489922798388,2.7540107638582985,1.8450726385902343,64.81508290949702
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-11-13,3436.T,LOSS,-2.6525779467893473,1,0.3744937752872509,False,1.265536124041633,12.273630834874112,2.446108172487693,0.0302216463046619,1.248052869321021,2.619441225849495,1.7307167359522406,65.83652953204387
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2023-12-29,7974.T,HOLD,2.459291329642499,1,5.510868537729171,False,0.6825260155721491,32.46803357683024,3.168384878735453,0.0505613989177613,1.8545624325191865,1.643920333622965,1.9467622373338236,74.74653975354796
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2024-01-05,8604.T,WIN,6.603821114816289,1,2.149423550755136,False,1.2383121555844756,19.94992687240586,3.687627203334398,0.0612549693714958,2.1402440036823784,1.9153774613760814,1.9692091463577648,72.18980718112883
UP35_SCORE80_NIKKEION_TP3.5_SL1.0_H1,VALIDATION,2024-01-18,6857.T,HOLD,9.361434661569147,1,7.864590669863411,False,3.4097213496718126,21.61860898412061,3.661373696932357,0.0462594443666768,1.3404262749466054,3.3932781351539987,1.5547766837329138,70.46552393293395
