strategy,phase,signals,avg_return,avg_gc_gap,gc_approach_ratio,avg_gc_slope,avg_adx,avg_breakout20,avg_relative_strength,avg_volume_surge,avg_atr_ratio
UP45_SCORE50_NIKKEION_TP4.0_SL1.0_H1,VALIDATION,8,5.752510035491282,,100.0,,,,,,2.167954301725134
UP45_SCORE50_NIKKEION_TP4.0_SL1.0_H3,VALIDATION,8,5.647364202514696,,100.0,,,,,,2.167954301725134
UP45_SCORE50_NIKKEION_TP4.0_SL1.0_H5,VALIDATION,8,5.499977511259366,,100.0,,,,,,2.167954301725134
UP45_SCORE50_NIKKEION_TP4.0_SL1.25_H1,VALIDATION,8,5.6961003770278245,,100.0,,,,,,2.167954301725134
UP45_SCORE50_NIKKEION_TP4.0_SL1.25_H3,VALIDATION,8,5.590954544051239,,100.0,,,,,,2.167954301725134
UP45_SCORE50_NIKKEION_TP4.0_SL1.25_H5,VALIDATION,8,5.443567852795908,,100.0,,,,,,2.167954301725134
UP45_SCORE50_NIKKEION_TP4.0_SL1.75_H3,VALIDATION,8,5.479677182827973,,100.0,,,,,,2.167954301725134
UP45_SCORE50_NIKKEION_TP4.0_SL1.75_H5,VALIDATION,8,5.3322904915726435,,100.0,,,,,,2.167954301725134
UP45_SCORE50_NIKKEION_TP4.0_SL2.0_H1,VALIDATION,8,6.254642813362498,,100.0,,,,,,2.160585749889789
UP45_SCORE50_NIKKEION_TP4.0_SL2.0_H3,VALIDATION,8,6.352815608832331,,100.0,,,,,,2.160585749889789
UP45_SCORE50_NIKKEION_TP4.0_SL2.0_H5,VALIDATION,8,6.141642681201655,,100.0,,,,,,2.160585749889789
UP45_SCORE60_NIKKEION_TP4.0_SL1.25_H5,VALIDATION,6,6.5298851542837175,,100.0,,,,,,2.290708493945913
UP45_SCORE60_NIKKEION_TP4.0_SL1.5_H1,VALIDATION,6,6.866595186592939,,100.0,,,,,,2.290708493945913
UP45_SCORE60_NIKKEION_TP4.0_SL1.5_H5,VALIDATION,6,6.5298851542837175,,100.0,,,,,,2.290708493945913
UP45_SCORE60_NIKKEION_TP4.0_SL1.75_H1,VALIDATION,6,6.866595186592939,,100.0,,,,,,2.290708493945913
UP45_SCORE60_NIKKEION_TP4.0_SL1.75_H3,VALIDATION,6,6.726400742624158,,100.0,,,,,,2.290708493945913
UP45_SCORE60_NIKKEION_TP4.0_SL1.75_H5,VALIDATION,6,6.5298851542837175,,100.0,,,,,,2.290708493945913
UP45_SCORE60_NIKKEION_TP4.0_SL2.0_H1,VALIDATION,6,7.832863835079718,,100.0,,,,,,2.280883758165453
UP45_SCORE60_NIKKEION_TP4.0_SL2.0_H3,VALIDATION,6,7.963760895706162,,100.0,,,,,,2.280883758165453
UP45_SCORE60_NIKKEION_TP4.0_SL2.0_H5,VALIDATION,6,7.682196992198595,,100.0,,,,,,2.280883758165453
UP45_SCORE70_NIKKEION_TP4.0_SL1.0_H1,VALIDATION,3,7.776021563961773,,100.0,,,,,,2.430634543466429
UP45_SCORE70_NIKKEION_TP4.0_SL1.0_H3,VALIDATION,3,7.502989899954426,,100.0,,,,,,2.430634543466429
UP45_SCORE70_NIKKEION_TP4.0_SL1.0_H5,VALIDATION,3,6.93986209293929,,100.0,,,,,,2.430634543466429
UP45_SCORE70_NIKKEION_TP4.0_SL1.25_H1,VALIDATION,3,7.776021563961773,,100.0,,,,,,2.430634543466429
UP45_SCORE70_NIKKEION_TP4.0_SL1.25_H3,VALIDATION,3,7.502989899954426,,100.0,,,,,,2.430634543466429
UP45_SCORE70_NIKKEION_TP4.0_SL1.25_H5,VALIDATION,3,6.93986209293929,,100.0,,,,,,2.430634543466429
UP45_SCORE70_NIKKEION_TP4.0_SL1.5_H1,VALIDATION,3,7.776021563961773,,100.0,,,,,,2.430634543466429
UP45_SCORE70_NIKKEION_TP4.0_SL1.5_H3,VALIDATION,3,7.502989899954426,,100.0,,,,,,2.430634543466429
UP45_SCORE70_NIKKEION_TP4.0_SL1.5_H5,VALIDATION,3,6.93986209293929,,100.0,,,,,,2.430634543466429
UP45_SCORE70_NIKKEION_TP4.0_SL1.75_H1,VALIDATION,3,7.776021563961773,,100.0,,,,,,2.430634543466429
UP45_SCORE70_NIKKEION_TP4.0_SL1.75_H3,VALIDATION,3,7.502989899954426,,100.0,,,,,,2.430634543466429
UP45_SCORE70_NIKKEION_TP4.0_SL1.75_H5,VALIDATION,3,6.93986209293929,,100.0,,,,,,2.430634543466429
UP45_SCORE70_NIKKEION_TP4.0_SL2.0_H1,VALIDATION,3,7.776021563961773,,100.0,,,,,,2.430634543466429
UP45_SCORE70_NIKKEION_TP4.0_SL2.0_H3,VALIDATION,3,7.502989899954426,,100.0,,,,,,2.430634543466429
