fold,phase,phase_start,phase_end,phase_days,candidate_rows,UP45_plus,UP_excluded,UP_gt_DOWN,UP_gt_DOWN_excluded,FLAT_lt_50,FLAT_excluded,SCORE50_plus,SCORE_excluded,NIKKEI_uptrend_reference
1,DEV,2019-01-29,2021-03-15,498,109747,4346,105401,4346,0,4345,1,1275,3070,1215
1,VALIDATION,2021-04-06,2022-08-18,324,71604,1350,70254,1350,0,1350,0,659,691,388
1,OOS,2022-09-09,2023-08-31,232,51423,2182,49241,2182,0,2182,0,204,1978,171
