strategy,year,signals,avg_return,total_return,wins,losses,holds,win_rate
UP50_NIKKEIOFF_BASE,2019,37,1.3012552490239062,48.14644421388453,3,12,22,20.0
UP50_NIKKEIOFF_BASE,2020,119,0.16998326591517401,20.228008643905707,20,78,21,20.408163265306122
UP50_NIKKEIOFF_BASE,2021,54,2.330030061902077,125.82162334271217,8,14,32,36.36363636363637
UP50_NIKKEIOFF_BASE,2022,65,-1.292929374507267,-84.04040934297235,1,50,14,1.9607843137254901
UP50_NIKKEIOFF_BASE,2023,40,2.4729390575312467,98.91756230124986,10,12,18,45.45454545454545
UP50_NIKKEIOFF_BASE,2024,103,2.9461351372424156,303.4519191359688,17,41,45,29.310344827586203
UP50_NIKKEIOFF_BASE,2025,110,0.8714743062279545,95.86217368507499,10,53,47,15.873015873015872
UP50_NIKKEIOFF_BASE,2026,107,2.366349437867179,253.19938985178814,46,43,18,51.68539325842697
UP50_NIKKEIOFF_TESTA55,2019,23,0.8011369721564713,18.42615035959884,1,8,14,11.11111111111111
UP50_NIKKEIOFF_TESTA55,2020,10,-5.697559692726385,-56.97559692726385,0,10,0,0.0
UP50_NIKKEIOFF_TESTA55,2021,39,2.308203057880288,90.01991925733122,6,11,22,35.294117647058826
UP50_NIKKEIOFF_TESTA55,2022,45,-1.09233452735835,-49.15505373112575,1,33,11,2.941176470588235
UP50_NIKKEIOFF_TESTA55,2023,5,2.569620794901996,12.848103974509979,2,2,1,50.0
UP50_NIKKEIOFF_TESTA55,2024,53,-0.6671934531900002,-35.36125301907001,3,33,17,8.333333333333332
UP50_NIKKEIOFF_TESTA55,2025,26,-1.7422256632702064,-45.297867245025365,4,21,1,16.0
UP50_NIKKEIOFF_TESTA55,2026,107,2.366349437867179,253.19938985178814,46,43,18,51.68539325842697
UP50_NIKKEIOFF_TESTA65,2019,22,1.051408972723137,23.130997399909017,2,7,13,22.22222222222222
UP50_NIKKEIOFF_TESTA65,2020,4,-6.154218724298373,-24.61687489719349,0,4,0,0.0
