date,ticker,company,score,testa_score,up_prob,flat_prob,down_prob,price,take_profit,stop_loss,nikkei_uptrend,rsi,vol,result,return,hold_days,exit_price
2022-01-27,8331.T,,54.76126308987402,85.0,27.199816631324158,28.809071490878967,43.99111187779688,642.97802734375,694.0,617.0,False,60.441641059522496,1.013397884713266,HOLD,2.167999170728855,5,656.9177856445312
2022-01-27,5713.T,,54.5562418939261,85.0,26.288611316000065,30.567029652994936,43.144359031005,4384.42431640625,4729.0,4212.0,False,66.70969481671605,0.9461677376866996,HOLD,3.3769221011746904,5,4532.48291015625
2022-01-27,3382.T,,54.362081538266025,85.0,25.425676401955272,29.684457255169484,44.88986634287522,1596.8355712890625,1712.0,1539.0,False,61.74136503210996,0.9933137873514885,WIN,7.2120405370209655,3,1712.0
2022-01-27,8002.T,,53.69255713914798,85.0,32.59493994210697,24.67173699636325,42.73332306152978,958.034423828125,1035.0,919.0,False,52.886372293773995,2.6668328559464807,WIN,8.033696311697764,5,1035.0
2022-01-27,8053.T,,53.619003523009575,85.0,32.26803498149184,24.751491659585042,42.98047335892312,356.66717529296875,374.0,348.0,False,53.91117905025726,1.5047982781221174,WIN,4.859663548459135,5,374.0
2022-01-27,9433.T,,52.7418757625634,75.0,29.335872954388076,24.939687323629784,45.724439721982115,1552.02392578125,1633.0,1512.0,False,56.776661923404326,1.3048589957213579,HOLD,4.676557984864144,5,1624.605224609375
2022-01-27,8001.T,,52.40904409083154,75.0,27.856621080024258,23.91121215735574,48.23216676261997,630.8587646484375,671.0,611.0,False,52.95397763064394,1.414918944260902,HOLD,2.5985029010283487,5,647.2516479492188
2022-01-27,7269.T,スズキ,46.766551046599865,65.0,28.092883878608088,24.919704845838353,46.98741127555355,1081.005859375,1176.0,1033.0,False,53.648829111992846,1.7079187046719515,HOLD,5.944114458647635,5,1145.2620849609375
2022-01-27,7182.T,,45.942476225262126,95.0,27.61873491420848,29.979344629452388,42.40192045633915,919.3997192382812,969.0,894.0,False,65.36211748113752,1.1792277013679229,HOLD,2.3402349197013033,5,940.9158325195312
2022-01-27,7735.T,,45.43514554452139,30.0,20.48470483555399,30.480472490030706,49.034822674415324,2349.52294921875,2691.0,2179.0,False,34.208383035405035,1.5603337420377403,HOLD,7.34462801312517,5,2522.086669921875
2022-01-27,8354.T,,45.33490905712598,95.0,24.918436389158906,26.768321614006023,48.31324199683507,1908.785400390625,2063.0,1832.0,False,63.606824517684316,1.3621481568719822,HOLD,2.1457116783069647,5,1949.742431640625
2022-01-27,6302.T,,44.55096558476963,65.0,28.390764917816714,24.325503250416872,47.28373183176638,2439.96484375,2615.0,2352.0,False,52.68183764868005,1.5720311657557273,HOLD,0.8564556514165964,5,2460.862060546875
