date,capital,daily_return_pct,peak,drawdown_pct
2026-08-03,1033084.7265221876,3.3084726522187737,1033084.7265221876,0.0
2026-08-04,1033084.7265221876,0.0,1033084.7265221876,0.0
2026-08-05,1033084.7265221876,0.0,1033084.7265221876,0.0
2026-08-06,1033084.7265221876,0.0,1033084.7265221876,0.0
2026-08-07,1033084.7265221876,0.0,1033084.7265221876,0.0
2026-08-10,1033084.7265221876,0.0,1033084.7265221876,0.0
2026-08-11,1033084.7265221876,0.0,1033084.7265221876,0.0
2026-08-12,1033084.7265221876,0.0,1033084.7265221876,0.0
2026-08-13,1033084.7265221876,0.0,1033084.7265221876,0.0
2026-08-14,1033084.7265221876,0.0,1033084.7265221876,0.0
2026-08-17,1033084.7265221876,0.0,1033084.7265221876,0.0
2026-08-18,1033084.7265221876,0.0,1033084.7265221876,0.0
2026-08-19,1033084.7265221876,0.0,1033084.7265221876,0.0
2026-08-20,1033084.7265221876,0.0,1033084.7265221876,0.0
2026-08-21,1033084.7265221876,0.0,1033084.7265221876,0.0
