date,trend,reason,source,ma_short,ma_long,last_close,daily_change_pct
2026-09-14,down,急落補助条件: 前日比-3.07% <= -1.5%,futures,64154.0,65444.5,62725.0,-0.0306753206614124
2026-09-15,down,急落補助条件: 前日比-1.89% <= -1.5%,futures,64306.0,65482.5,63485.0,-0.0189306135064132
2026-09-16,down,MA5=63899.0 < MA20=65183.8,futures,63899.0,65183.75,63440.0,0.0045127068323964
2026-09-17,down,MA5=63909.0 < MA20=65080.8,futures,63909.0,65080.75,64150.0,0.0099976383531448
2026-09-18,down,MA5=64047.0 < MA20=65018.0,futures,64047.0,65018.0,64605.0,0.0055252918287937
2026-09-19,down,MA5=64149.0 < MA20=64999.8,futures,64149.0,64999.75,64915.0,7.702973347711861e-05
2026-09-24,up,MA5=65570.0 >= MA20=65034.0,futures,65570.0,65034.0,66020.0,0.0041828275914517
2026-09-25,up,MA5=65423.0 >= MA20=64944.2,futures,65423.0,64944.25,65495.0,0.0122874806800619
