fold,phase,up,score,nikkei,candidate_count
2,VALIDATION,60,50,False,0
2,VALIDATION,60,50,True,0
2,VALIDATION,60,60,False,0
2,VALIDATION,60,60,True,0
2,VALIDATION,60,70,False,0
2,VALIDATION,60,70,True,0
2,VALIDATION,60,80,False,0
2,VALIDATION,60,80,True,0
2,VALIDATION,65,50,False,0
2,VALIDATION,65,50,True,0
2,VALIDATION,65,60,False,0
2,VALIDATION,65,60,True,0
2,VALIDATION,65,70,False,0
2,VALIDATION,65,70,True,0
2,VALIDATION,65,80,False,0
2,VALIDATION,65,80,True,0
2,OOS,45,50,False,109
2,OOS,45,50,True,100
2,OOS,45,60,False,58
2,OOS,45,60,True,54
2,OOS,45,70,False,4
2,OOS,45,70,True,2
2,OOS,45,80,False,0
2,OOS,45,80,True,0
2,OOS,50,50,False,20
2,OOS,50,50,True,20
2,OOS,50,60,False,2
2,OOS,50,60,True,2
2,OOS,50,70,False,0
2,OOS,50,70,True,0
2,OOS,50,80,False,0
2,OOS,50,80,True,0
2,OOS,55,50,False,10
2,OOS,55,50,True,10
2,OOS,55,60,False,2
2,OOS,55,60,True,2
2,OOS,55,70,False,0
2,OOS,55,70,True,0
2,OOS,55,80,False,0
2,OOS,55,80,True,0
2,OOS,60,50,False,1
2,OOS,60,50,True,1
2,OOS,60,60,False,0
2,OOS,60,60,True,0
2,OOS,60,70,False,0
2,OOS,60,70,True,0
2,OOS,60,80,False,0
2,OOS,60,80,True,0
2,OOS,65,50,False,0
2,OOS,65,50,True,0
2,OOS,65,60,False,0
2,OOS,65,60,True,0
2,OOS,65,70,False,0
2,OOS,65,70,True,0
2,OOS,65,80,False,0
2,OOS,65,80,True,0
3,DEV,45,50,False,230
3,DEV,45,50,True,199
3,DEV,45,60,False,116
3,DEV,45,60,True,107
3,DEV,45,70,False,8
3,DEV,45,70,True,7
3,DEV,45,80,False,0
3,DEV,45,80,True,0
3,DEV,50,50,False,55
3,DEV,50,50,True,53
3,DEV,50,60,False,28
3,DEV,50,60,True,27
3,DEV,50,70,False,1
3,DEV,50,70,True,1
3,DEV,50,80,False,0
3,DEV,50,80,True,0
3,DEV,55,50,False,4
3,DEV,55,50,True,4
3,DEV,55,60,False,2
3,DEV,55,60,True,2
3,DEV,55,70,False,0
3,DEV,55,70,True,0
3,DEV,55,80,False,0
3,DEV,55,80,True,0
3,DEV,60,50,False,0
3,DEV,60,50,True,0
3,DEV,60,60,False,0
3,DEV,60,60,True,0
3,DEV,60,70,False,0
3,DEV,60,70,True,0
3,DEV,60,80,False,0
3,DEV,60,80,True,0
3,DEV,65,50,False,0
3,DEV,65,50,True,0
3,DEV,65,60,False,0
3,DEV,65,60,True,0
3,DEV,65,70,False,0
3,DEV,65,70,True,0
3,DEV,65,80,False,0
3,DEV,65,80,True,0
3,VALIDATION,45,50,False,109
3,VALIDATION,45,50,True,100
3,VALIDATION,45,60,False,58
3,VALIDATION,45,60,True,54
3,VALIDATION,45,70,False,4
3,VALIDATION,45,70,True,2
3,VALIDATION,45,80,False,0
3,VALIDATION,45,80,True,0
3,VALIDATION,50,50,False,20
3,VALIDATION,50,50,True,20
3,VALIDATION,50,60,False,2
3,VALIDATION,50,60,True,2
3,VALIDATION,50,70,False,0
3,VALIDATION,50,70,True,0
3,VALIDATION,50,80,False,0
3,VALIDATION,50,80,True,0
3,VALIDATION,55,50,False,10
3,VALIDATION,55,50,True,10
3,VALIDATION,55,60,False,2
3,VALIDATION,55,60,True,2
3,VALIDATION,55,70,False,0
3,VALIDATION,55,70,True,0
3,VALIDATION,55,80,False,0
3,VALIDATION,55,80,True,0
3,VALIDATION,60,50,False,1
3,VALIDATION,60,50,True,1
3,VALIDATION,60,60,False,0
3,VALIDATION,60,60,True,0
3,VALIDATION,60,70,False,0
3,VALIDATION,60,70,True,0
3,VALIDATION,60,80,False,0
3,VALIDATION,60,80,True,0
3,VALIDATION,65,50,False,0
3,VALIDATION,65,50,True,0
3,VALIDATION,65,60,False,0
3,VALIDATION,65,60,True,0
3,VALIDATION,65,70,False,0
3,VALIDATION,65,70,True,0
3,VALIDATION,65,80,False,0
3,VALIDATION,65,80,True,0
3,OOS,45,50,False,131
3,OOS,45,50,True,0
3,OOS,45,60,False,24
3,OOS,45,60,True,0
3,OOS,45,70,False,4
3,OOS,45,70,True,0
3,OOS,45,80,False,0
3,OOS,45,80,True,0
3,OOS,50,50,False,72
3,OOS,50,50,True,0
3,OOS,50,60,False,9
3,OOS,50,60,True,0
3,OOS,50,70,False,0
3,OOS,50,70,True,0
3,OOS,50,80,False,0
3,OOS,50,80,True,0
3,OOS,55,50,False,57
3,OOS,55,50,True,0
3,OOS,55,60,False,2
3,OOS,55,60,True,0
3,OOS,55,70,False,0
3,OOS,55,70,True,0
3,OOS,55,80,False,0
3,OOS,55,80,True,0
3,OOS,60,50,False,47
3,OOS,60,50,True,0
3,OOS,60,60,False,1
3,OOS,60,60,True,0
3,OOS,60,70,False,0
3,OOS,60,70,True,0
3,OOS,60,80,False,0
3,OOS,60,80,True,0
3,OOS,65,50,False,43
3,OOS,65,50,True,0
3,OOS,65,60,False,0
3,OOS,65,60,True,0
3,OOS,65,70,False,0
3,OOS,65,70,True,0
3,OOS,65,80,False,0
3,OOS,65,80,True,0
4,DEV,45,50,False,238
4,DEV,45,50,True,201
4,DEV,45,60,False,117
4,DEV,45,60,True,107
4,DEV,45,70,False,8
4,DEV,45,70,True,7
4,DEV,45,80,False,0
4,DEV,45,80,True,0
4,DEV,50,50,False,55
4,DEV,50,50,True,53
4,DEV,50,60,False,28
4,DEV,50,60,True,27
4,DEV,50,70,False,1
4,DEV,50,70,True,1
4,DEV,50,80,False,0
4,DEV,50,80,True,0
4,DEV,55,50,False,4
4,DEV,55,50,True,4
4,DEV,55,60,False,2
4,DEV,55,60,True,2
4,DEV,55,70,False,0
4,DEV,55,70,True,0
4,DEV,55,80,False,0
4,DEV,55,80,True,0
4,DEV,60,50,False,0
4,DEV,60,50,True,0
4,DEV,60,60,False,0
4,DEV,60,60,True,0
4,DEV,60,70,False,0
4,DEV,60,70,True,0
4,DEV,60,80,False,0
4,DEV,60,80,True,0
4,DEV,65,50,False,0
4,DEV,65,50,True,0
4,DEV,65,60,False,0
4,DEV,65,60,True,0
4,DEV,65,70,False,0
4,DEV,65,70,True,0
4,DEV,65,80,False,0
4,DEV,65,80,True,0
4,VALIDATION,45,50,False,214
4,VALIDATION,45,50,True,80
4,VALIDATION,45,60,False,71
4,VALIDATION,45,60,True,44
4,VALIDATION,45,70,False,7
4,VALIDATION,45,70,True,1
4,VALIDATION,45,80,False,0
4,VALIDATION,45,80,True,0
