date,sector,avg_return_pct,median_return_pct,n_tickers
2026-09-25,金融,2.874,2.547,22
2026-09-25,情報技術,1.386,1.084,28
2026-09-25,ヘルスケア,1.063,1.087,13
2026-09-25,エネルギー,0.781,0.757,3
2026-09-25,資本財・サービス,0.571,0.692,66
2026-09-25,生活必需品,0.533,0.72,15
2026-09-25,一般消費財,0.505,0.537,34
2026-09-25,不動産,0.4,0.432,6
2026-09-25,素材,0.186,0.089,21
2026-09-25,公益事業,0.024,-0.199,5
2026-09-25,通信サービス,-0.19,0.0,11
