date,equity
2024-10-10,0.9972363636363636
2024-10-11,0.9811989897520661
2024-10-15,0.9508085810421999
2024-10-16,0.929311663396273
2024-10-17,0.9035866268958944
2024-10-18,0.8752386500830059
2024-10-21,0.8586329858764311
2024-10-22,0.8544334900000536
2024-10-23,0.8721124956658729
2024-10-24,0.9112544901304404
2024-10-25,0.9439519580626662
2024-10-28,0.9482855556883175
2024-10-29,0.9560959803560776
2024-10-30,0.9333669713685218
2024-10-31,0.9154463255182461
2024-11-01,0.9476700361764883
2024-11-05,0.9668388164536945
2024-11-06,0.9486358783730072
2024-11-07,0.9206338720359423
2024-11-08,0.9205083310533919
2024-11-11,0.901545859433692
2024-11-12,0.8831051486725483
2024-11-13,0.8728611289479467
2024-11-14,0.8652910424296163
2024-11-15,0.8470963316919826
2024-11-18,0.8591250996020088
2024-11-19,0.8480189551326083
2024-11-20,0.8282292764251046
2024-11-21,0.8082463627920843
2024-11-22,0.789208487101227
2024-11-25,0.7627413042928959
2024-11-26,0.761014735340451
2024-11-27,0.7713437807937538
2024-11-29,0.7779913617409582
2024-12-02,0.7781540326620494
2024-12-03,0.7745250052188164
2024-12-04,0.7686667797247977
2024-12-05,0.7715947013675676
2024-12-06,0.7748985295888778
2024-12-09,0.7771034681321626
2024-12-10,0.7863227410950032
2024-12-11,0.7972740723618901
2024-12-12,0.7937443226051606
2024-12-13,0.7811742988780861
2024-12-16,0.7806842895451535
2024-12-17,0.775290470817387
2024-12-18,0.7744094589187309
2024-12-19,0.8019573153982673
2024-12-20,0.839087939101207
2024-12-23,0.8648555669037876
2024-12-24,0.9025003710341087
2024-12-26,0.909359373853968
2024-12-27,0.8979758478739961
2024-12-30,0.8838204831447825
2025-01-06,0.8630989101808698
2025-01-07,0.8314231801772319
2025-01-08,0.8016128799716046
2025-01-09,0.7716252708708486
2025-01-10,0.7565364894377287
2025-01-14,0.7592049999641091
2025-01-15,0.7691160761454587
2025-01-16,0.7947905691600599
2025-01-17,0.8253827807039117
2025-01-21,0.8403972438328984
2025-01-22,0.8307555954536519
2025-01-23,0.8288599622312985
2025-01-24,0.8214605032957428
