date,ticker,company,rank,score,testa_score,up_prob,flat_prob,down_prob,nikkei_uptrend,price,take_profit,stop_loss,result,return,hold_days,exit_price,phase,threshold,nikkei_filter,testa_threshold,strategy
2022-12-21,9434.T,,1,55.009762208456706,65.0,50.526479380580525,31.27977640078146,18.193744218638038,True,126.94843292236328,131.0,125.0,HOLD,1.1137490958950707,5,128.36231994628906,DEV,50,True,,UP50_NIKKEION_BASE
2022-12-21,7272.T,,2,53.49057368803609,30.0,56.28660769561933,26.520692731431716,17.192699572948953,True,873.9963989257812,942.0,840.0,HOLD,1.1535622226302114,5,884.0784912109375,DEV,50,True,,UP50_NIKKEION_BASE
2022-12-21,8015.T,,3,50.91726018088166,55.0,53.59362012758999,27.936670816818694,18.46970905559133,True,1471.697998046875,1578.0,1418.0,TIMEOUT_LOSS,-0.9118582632100629,5,1458.2781982421875,DEV,50,True,,UP50_NIKKEION_BASE
2022-12-22,9020.T,,1,46.35997379344889,30.0,50.97186420276801,29.077201485996905,19.95093431123509,True,2337.48291015625,2453.0,2280.0,HOLD,0.7232777646059829,5,2354.389404296875,DEV,50,True,,UP50_NIKKEION_BASE
2022-12-22,3382.T,,2,40.97072314254199,45.0,50.93268256588712,29.689655231919865,19.37766220219304,True,1721.64208984375,1812.0,1676.0,HOLD,0.5507210452412035,5,1731.12353515625,DEV,50,True,,UP50_NIKKEION_BASE
2022-12-22,7272.T,,3,40.6002910196491,20.0,50.68728375882689,27.366697437598365,21.94601880357478,True,879.765380859375,947.0,846.0,HOLD,0.8924748280777762,5,887.6170654296875,DEV,50,True,,UP50_NIKKEION_BASE
2022-12-23,8309.T,,1,61.29956750235222,90.0,50.703391797893936,28.715917309808525,20.58069089229751,True,504.08306884765625,536.0,488.0,HOLD,0.8836288913640646,5,508.53729248046875,DEV,50,True,,UP50_NIKKEION_BASE
2022-12-23,9509.T,北海道電力,2,49.7385701427672,55.0,52.41296875046291,29.230801960777598,18.356229288759472,True,415.15179443359375,439.0,403.0,HOLD,1.3392979877377424,5,420.7119140625,DEV,50,True,,UP50_NIKKEION_BASE
2022-12-23,8015.T,,3,47.14179399384483,30.0,54.4466206489722,27.98558534110177,17.567794009926025,True,1449.33154296875,1555.0,1397.0,TIMEOUT_LOSS,-1.2345568791647281,5,1431.438720703125,DEV,50,True,,UP50_NIKKEION_BASE
2022-12-27,8058.T,三菱商事,1,34.88514285668319,30.0,50.69725327607985,29.5555425614199,19.74720416250027,True,1297.506591796875,1365.0,1264.0,LOSS,-2.58238316542753,4,1264.0,DEV,50,True,,UP50_NIKKEION_BASE
2022-12-27,4204.T,,2,34.77785604010944,30.0,50.22042298019653,28.83214248035638,20.947434539447084,True,1669.0977783203125,1754.0,1626.0,LOSS,-2.582100274777414,5,1626.0,DEV,50,True,,UP50_NIKKEION_BASE
2022-12-27,9984.T,ソフトバンクG,3,31.76284145700528,30.0,51.0232567171249,29.499638529581922,19.477104753293197,True,1423.29150390625,1539.0,1366.0,LOSS,-4.025282505306356,4,1366.0,DEV,50,True,,UP50_NIKKEION_BASE
2022-12-28,9509.T,北海道電力,1,41.370853859464916,60.0,50.24727319182476,27.766708289954178,21.98601851822106,True,423.491943359375,447.0,412.0,TIMEOUT_LOSS,-0.6564538807567984,5,420.7119140625,DEV,50,True,,UP50_NIKKEION_BASE
2022-12-28,4568.T,,2,40.6768762177731,20.0,51.0276624171558,27.70463539615971,21.267702186684488,True,3994.64404296875,4302.0,3841.0,LOSS,-3.8462511632091356,3,3841.0,DEV,50,True,,UP50_NIKKEION_BASE
2022-12-28,9983.T,,3,39.97501320003176,50.0,51.09667702429574,27.083488722110395,21.819834253593882,True,26114.76171875,27876.0,25234.0,LOSS,-3.3726584536194584,3,25234.0,DEV,50,True,,UP50_NIKKEION_BASE
2022-12-29,9434.T,,1,60.285601208249616,85.0,51.75243049077125,30.69223421531883,17.555335293909934,True,128.36231994628906,132.0,127.0,LOSS,-1.0613082926976554,5,127.0,DEV,50,True,,UP50_NIKKEION_BASE
2022-12-29,5401.T,,2,60.228605343228956,85.0,51.49911553512388,28.50194169233355,19.9989427725426,True,360.2270202636719,380.0,350.0,LOSS,-2.839048624444136,3,350.0,DEV,50,True,,UP50_NIKKEION_BASE
2022-12-29,9021.T,,3,53.54281857569725,55.0,55.11784101276071,28.794520415539875,16.08763857169941,True,2589.635498046875,2738.0,2515.0,LOSS,-2.88208506962334,3,2515.0,DEV,50,True,,UP50_NIKKEION_BASE
2023-06-08,9509.T,北海道電力,1,77.43603879943836,100.0,50.44036567866328,23.323249803588627,26.23638451774804,True,552.9489135742188,593.0,533.0,WIN,7.2431802364696125,3,593.0,DEV,50,True,,UP50_NIKKEION_BASE
2023-06-08,9022.T,,2,68.81575854246789,100.0,52.70771912594421,22.134074233264194,25.158206640791587,True,3427.41650390625,3599.0,3341.0,HOLD,0.8252688390333632,5,3455.701904296875,DEV,50,True,,UP50_NIKKEION_BASE
2023-06-08,8801.T,,3,65.75270993034704,85.0,55.76083640540712,21.83253125051562,22.406632344077217,True,862.9099731445312,917.0,836.0,HOLD,4.368316775377872,5,900.6046142578125,DEV,50,True,,UP50_NIKKEION_BASE
2023-06-26,4188.T,,1,66.0903091800143,100.0,50.73953838460461,22.998231806700282,26.26222980869507,True,761.3079223632812,799.0,743.0,HOLD,4.179449669529295,5,793.1264038085938,DEV,50,True,,UP50_NIKKEION_BASE
2023-06-26,4004.T,,2,62.4914870169761,95.0,50.44525630733341,23.990667202388394,25.564076490278147,True,2177.671142578125,2349.0,2092.0,HOLD,4.875376986843004,5,2283.8408203125,DEV,50,True,,UP50_NIKKEION_BASE
2023-06-26,5801.T,,3,62.46903623664373,85.0,51.31165863629099,25.365205518671292,23.32313584503771,True,237.12608337402344,250.0,231.0,HOLD,3.2757293217406747,5,244.89369201660156,DEV,50,True,,UP50_NIKKEION_BASE
2023-07-06,5401.T,,1,65.12284220206362,95.0,51.995240704823786,22.460300269017527,25.544459026158673,True,484.8343811035156,515.0,470.0,TIMEOUT_LOSS,-0.767562114886883,5,481.11297607421875,DEV,50,True,,UP50_NIKKEION_BASE
2023-07-06,6302.T,,2,62.2120574911117,85.0,50.169530878370836,23.194113427132066,26.636355694497077,True,3110.4404296875,3283.0,3024.0,LOSS,-2.7790414779357953,1,3024.0,DEV,50,True,,UP50_NIKKEION_BASE
2023-07-06,4188.T,,3,59.77642631490241,75.0,50.45561453966288,23.03828089145178,26.506104568885334,True,775.5093383789062,814.0,756.0,LOSS,-2.5156806518523416,3,756.0,DEV,50,True,,UP50_NIKKEION_BASE
2023-07-07,4188.T,,1,57.73660344669415,75.0,51.534662661635835,22.92516760077254,25.54016973759161,True,764.9930419921875,804.0,745.0,LOSS,-2.6134933123210917,3,745.0,DEV,50,True,,UP50_NIKKEION_BASE
2023-07-07,7182.T,,2,48.63336169614301,85.0,50.68933700701241,23.468027297892792,25.842635695094774,True,1025.3839111328125,1060.0,1008.0,HOLD,0.2660731707171892,5,1028.1121826171875,DEV,50,True,,UP50_NIKKEION_BASE
2023-07-07,9432.T,,3,48.48576842108533,85.0,50.033366895644946,24.610711563178878,25.35592154117618,True,150.92724609375,160.0,147.0,LOSS,-2.602078945580542,4,147.0,DEV,50,True,,UP50_NIKKEION_BASE
2024-03-11,9432.T,,1,58.52263035051722,70.0,50.43874358683982,30.71922562046584,18.842030792694356,True,167.93017578125,175.0,164.0,TIMEOUT_LOSS,-0.8223636387426183,5,166.54917907714844,DEV,50,True,,UP50_NIKKEION_BASE
2024-03-11,4204.T,,2,58.45046495126132,70.0,50.1180084790358,28.4865183093485,21.39547321161567,True,1967.6875,2065.0,1919.0,HOLD,1.2209466219864689,5,1991.7119140625,DEV,50,True,,UP50_NIKKEION_BASE
2024-03-11,9434.T,,3,50.80403056838189,85.0,50.1918266807311,30.057653303342967,19.750520015925943,True,178.25836181640625,185.0,175.0,LOSS,-1.827887221224515,1,175.0,DEV,50,True,,UP50_NIKKEION_BASE
2024-03-12,9021.T,,1,37.09710039000346,30.0,50.38324811016031,27.92132833173482,21.695423558104906,True,2878.2001953125,3014.0,2810.0,WIN,4.718219563346099,5,3014.0,DEV,50,True,,UP50_NIKKEION_BASE
2024-04-19,6098.T,,1,63.59947194128292,55.0,59.23436804821396,32.04255481176877,8.723077140017265,True,6073.43359375,6644.0,5788.0,HOLD,8.672897589977868,5,6600.17626953125,DEV,50,True,,UP50_NIKKEION_BASE
2024-04-19,7202.T,,2,54.549187684878596,55.0,59.590592609122275,30.796928675652886,9.612478715224853,True,1765.8616943359375,1882.0,1708.0,HOLD,0.9841946658284677,5,1783.2412109375,DEV,50,True,,UP50_NIKKEION_BASE
2024-04-19,4755.T,,3,53.52813209712133,30.0,56.45353395822037,35.97269627051487,7.573769771264752,True,743.9000244140625,832.0,700.0,TIMEOUT_LOSS,-0.8200075844732606,5,737.7999877929688,DEV,50,True,,UP50_NIKKEION_BASE
2024-04-22,7201.T,,1,44.47674727882477,45.0,50.283128002506196,35.05087516583441,14.665996831659402,True,550.4000244140625,598.0,527.0,HOLD,5.686770785718927,5,581.7000122070312,DEV,50,True,,UP50_NIKKEION_BASE
2024-04-22,6501.T,,2,39.167364170286675,45.0,53.0626813365398,33.215426455663874,13.72189220779631,True,2599.09423828125,2834.0,2482.0,WIN,9.037985551231507,5,2834.0,DEV,50,True,,UP50_NIKKEION_BASE
2024-04-22,8015.T,,3,38.84275629994027,45.0,51.61997969055578,33.96189251897711,14.418127790467103,True,2941.3642578125,3209.0,2808.0,WIN,9.099034282361933,5,3209.0,DEV,50,True,,UP50_NIKKEION_BASE
2024-04-23,8015.T,,1,38.70097686663841,45.0,50.98984887588084,33.63145389229734,15.378697231821839,True,2974.539794921875,3232.0,2846.0,HOLD,2.9882182897416754,5,3063.425537109375,DEV,50,True,,UP50_NIKKEION_BASE
2024-04-23,8697.T,,2,35.23380455625319,30.0,52.24686082972432,34.37391819456689,13.379220975708797,True,1826.2626953125,1996.0,1742.0,LOSS,-4.6139416595859135,4,1742.0,DEV,50,True,,UP50_NIKKEION_BASE
2024-04-23,4063.T,,3,35.05537809509121,30.0,51.453854335671046,34.164121339599156,14.382024324729803,True,5962.517578125,6457.0,5715.0,LOSS,-4.151225969263062,3,5715.0,DEV,50,True,,UP50_NIKKEION_BASE
