date,ticker,rank,score,probability,status,entry_time,entry_price,exit_time,exit_price,return_pct,reason,gap_pct,tp_distance_atr,sl_distance_atr
2026-08-03,6526.T,1,95.9,61.7,TRADE,2026-08-03 09:40:00,1938.0,2026-08-03 09:55:00,2004.25,3.3084726522187737,TP,0.15686274509802978,2.0,1.0
2026-08-03,8362.T,2,88.0,66.0,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-03,8058.T,3,85.2,64.4,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-04,7269.T,1,82.8,59.5,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-04,9509.T,2,81.4,56.7,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-04,7203.T,3,80.9,61.8,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-05,4980.T,1,97.5,55.0,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-05,8362.T,2,83.7,57.4,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-05,6613.T,3,83.1,56.3,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-06,7203.T,1,80.0,59.9,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-06,9509.T,2,79.5,53.0,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-06,7269.T,3,78.0,60.0,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-07,5803.T,1,82.0,53.9,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-07,7269.T,2,78.3,50.6,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-07,6613.T,3,78.2,46.4,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-10,5803.T,1,76.7,43.4,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-10,8362.T,2,76.1,62.2,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-10,8306.T,3,69.8,49.6,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-12,8362.T,1,100.3,60.5,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-12,5803.T,2,76.8,43.7,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-12,8306.T,3,70.5,50.9,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-13,8362.T,1,99.2,58.3,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-13,6613.T,2,77.7,45.3,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-13,5803.T,3,76.8,43.7,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-14,8362.T,1,99.6,59.3,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-14,6613.T,2,80.6,51.2,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-14,8306.T,3,69.9,49.8,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-17,8362.T,1,53.6,36.5,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-17,7269.T,2,48.9,35.2,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-17,9509.T,3,47.2,29.6,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-18,9509.T,1,48.7,34.4,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-18,7269.T,2,48.5,33.8,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-18,6613.T,3,43.6,33.7,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-19,6613.T,1,44.8,37.9,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-19,9509.T,2,42.0,32.4,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-19,7269.T,3,39.4,23.8,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-20,6613.T,1,43.6,33.7,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-20,9509.T,2,41.4,30.6,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-20,7269.T,3,40.2,26.3,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-21,9509.T,1,41.9,32.1,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-21,7203.T,2,41.2,29.7,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
2026-08-21,7269.T,3,41.2,29.7,NO_ENTRY,,,,,0.0,chart_condition_not_met,,,
