strategy,month,signals,avg_return,total_return,wins,losses,holds,win_rate
UP50_NIKKEION_TESTA55,2024-04,3,3.581620865010288,10.744862595030863,0,0,3,0.0
UP50_NIKKEION_TESTA55,2024-07,3,3.8719000703264874,11.615700210979462,2,1,0,66.66666666666666
UP50_NIKKEION_TESTA55,2024-08,3,-3.698601282298847,-11.09580384689654,0,3,0,0.0
UP50_NIKKEION_TESTA65,2022-12,5,-0.8788086040737586,-4.394043020368793,0,3,2,0.0
UP50_NIKKEION_TESTA65,2023-06,6,3.229402482645721,19.376414895874326,0,0,6,0.0
UP50_NIKKEION_TESTA65,2023-07,5,-2.4255588244246673,-12.127794122123337,0,5,0,0.0
UP50_NIKKEION_TESTA65,2024-03,2,1.2914576244641198,2.5829152489282396,1,1,0,50.0
UP50_NIKKEION_TESTA65,2024-04,3,3.9624817372136634,11.88744521164099,0,0,3,0.0
UP50_NIKKEION_TESTA65,2024-07,3,3.8719000703264874,11.615700210979462,2,1,0,66.66666666666666
UP50_NIKKEION_TESTA65,2024-08,1,-4.772161998005761,-4.772161998005761,0,1,0,0.0
UP50_NIKKEION_TESTA75,2022-12,3,-1.0055713624959386,-3.0167140874878156,0,2,1,0.0
UP50_NIKKEION_TESTA75,2023-06,6,3.229402482645721,19.376414895874326,0,0,6,0.0
UP50_NIKKEION_TESTA75,2023-07,4,-2.2428010893661785,-8.971204357464714,0,4,0,0.0
UP50_NIKKEION_TESTA75,2024-03,2,1.2914576244641198,2.5829152489282396,1,1,0,50.0
UP50_NIKKEION_TESTA75,2024-04,2,2.9346731090688514,5.869346218137703,0,0,2,0.0
UP50_NIKKEION_TESTA75,2024-07,1,-3.4393814387276302,-3.4393814387276302,0,1,0,0.0
UP55_NIKKEIOFF_BASE,2022-12,7,-1.3250500755329888,-9.275350528730922,0,5,2,0.0
UP55_NIKKEIOFF_BASE,2023-06,3,4.270512371317623,12.81153711395287,1,0,2,100.0
UP55_NIKKEIOFF_BASE,2024-04,3,2.945693929477896,8.837081788433688,0,1,2,0.0
UP55_NIKKEIOFF_BASE,2024-07,3,-0.3436254602644766,-1.0308763807934298,1,2,0,33.33333333333333
UP55_NIKKEIOFF_BASE,2024-08,3,-4.122653043240688,-12.367959129722063,0,3,0,0.0
UP55_NIKKEIOFF_BASE,2025-03,7,3.0595862745527365,21.417103921869156,2,1,4,66.66666666666666
UP55_NIKKEIOFF_BASE,2025-04,15,-0.6250967540626342,-9.376451310939514,2,9,4,18.181818181818183
UP55_NIKKEIOFF_TESTA55,2022-12,1,-2.5292716924331766,-2.5292716924331766,0,1,0,0.0
UP55_NIKKEIOFF_TESTA55,2023-06,3,4.270512371317623,12.81153711395287,1,0,2,100.0
UP55_NIKKEIOFF_TESTA55,2024-04,3,3.581620865010288,10.744862595030863,0,0,3,0.0
UP55_NIKKEIOFF_TESTA55,2024-07,3,3.8719000703264874,11.615700210979462,2,1,0,66.66666666666666
UP55_NIKKEIOFF_TESTA55,2024-08,2,-3.7483505879829724,-7.496701175965945,0,2,0,0.0
